SOUCHAL	Léon Claude Albert
SICHEL	Robert
SÉRÉ DE LANAUZE	Jean Frédéric Léandre
SANGLE-FERRIÈRE	Georges Antoine Marie
NOWINA	Gilbert Isidore
NOESSER	Edouard Louis
MUET	Marcel Charles
MONNEROT-DUMAINE	Marie Louis Tony Marcel
MINIER	Jacques
GASNE	Ernest Henri
GAS	Paul Auguste Léon Eudoxe
SCHIEX	Lucien Charles
KIEFFER	Jean André
TARDY	Augustin Marie
BAIRE	Louis
BALLOT	Léon
FAUTRIER	Gustave Frédéric
COULEMBIER	Jules Ferdinand
FABRE	Gabriel Antoine
GARNIER	Jules Alfred Marcel
GARNIER	Jean
HAÜET	Maurice Louis Ernest
NICOLAS	Jules Victor
JARDIN	Louis Ambroise
BARBARIN	Paul Joseph
OLLIVIER	René Henri
MOYSE	Pierre
JARNY DE	Louis Edouard
NOVENSKI	Camille Jules Louis
LESPAGNE	Victor Désiré
LIÈVRE	André Jacob
JOSEPHSON	Armand Barouch
JAURET	Georges Maurice Albert
LECLABART	Léon Laurent
LAVALLÉE	Marie Alphonse Paul Pierre
DELAVILLE	Auguste Philippe
DUCLAUX	Paul Louis Henri
BONY DE LAVERGNE DE	Henri Thomy Raymond
BOULOGNE	Ernest Jean
LE BRET	Adèle Jeanne Marie
CARON	Anna Pauline
MICHEL	Charles
LEBRETON	Louis Paul
HOUOT	Georges Sylvain
HÉMERY	Jacques Guy Roger Armand
HALOT	René Marcel
GIELFRICH	Henri
DUPONT	Charles Justin
COUPIN	Henri Eugène Victor
DIENERT	Emile Frédéric Louis
GEORGE	Henri
DUMAS	Alfred
HEURTAUX	Denis Marie Joseph
HENRIOT	Paul Emile Maurice
GUEULLETTE	Jean Emile
GIRAND	Pierre Marie Marcel
MANIÈRE	Emile Paul
DUMAND	Georges André Pierre
FRANÇOIS	Emile
DOMALAIN	Charles
FAURE	Louis Jules
GROS	Eugène
CHEMINADE	Géraud Antoine
BRUNET	Paul
GRASSET	Maurice Henri Charles
GOUIN	Henry Jules
HERGAT	Raoul Julien
HEMENT	Désiré Salomon Gaston
HABAY	Emile André
MODÉ	Célestin Jules
LAMARRE	Louis Georges Alexandre
MAROT	Etienne
LAFORCADE DE	Pierre Louis Charles
MEUNIER	Paul Eugène
MUZET	Alphonse Alexis
GUÉRARD	Jacques Marie
GRILLOT	Georges Maurice Emile
BUSSON	Henri Emile Lucien
GILLY	Renée Lydie
GIBAULT	Pierre
GERSANT	Raymond
GAUTHIER D'HAUTESERVE	Edmé Louis
CLAMENS	Georges Armand
LAUNAY	Maurice Nicolas
LABROUSTE	Henri Théodore
LEFÉBURE	Henri Louis Marcel
LAMBERT	Alfred
MEUNIER	Alexandre Louis Emile
GARIN	Georges Charles Claudius
CARRÉ	Fernand Maurice
JAME	Charles Maurice
LAURENT	Alexis François
MOREAU	Gabriel Jean Paul
CHANÉE	Henri Louis Auguste
CLERC RAMPAL	Georges
CHAYETTE	Marcel
BROT	Pierre Robert
RUEFF	Gaston Albert
SORBA	Roger
MINOLETTI	Charles Louis
BOUCHOT	Gabriel Edmond
LEJONNE	Henri Léopold
CORMIER	Georges
BELNY	Marguerite Madeleine
GENTIS	Auguste Edmond
BANARÉ	Louis Armand
OUVRARD	Calixte Charles
BRUNET	Louis
AMBROIX DE LARBONT D'	Victor Roger
PERRET	Joseph Marie Jean
MÜLLER	Louis Georges Paul
GALLOIS	Jean Félix
COURTIN	André Paul Marie
COEURDEROY	Roger Jehan Frédéric
TAGINI	Serge Lucien Alexandre Henri
VIVET	Louis Charles Jean
SCHNELL	Guillaume Pierre
NEU	Henri
MUHR	Edmond Armand
MOREL	Joseph Georges
MICHEL-DANSAC	Marc Henri
OLLIER	Adolphe
SCOUPE	Marcel André
CLARET DE FLEURIEU	Bernard Georges Henri
CASEL	Robert Louis Ernest
GARBE	Charles Louis
CHAPART	Françoise Jeanne
COGNIAT	Raymond
CLÉMENÇON	Pierre Guy
MELCHISSEDEC	André Frédéric
LITZLER	Léon Jean Baptiste
FREMY	Jules Michel Hippolyte
FRÉMONT	Henri Gaston
FRESNEL	Paul Léon Romain
FRESCHER	Henri Achille Pierre
FRANÇOIS-MARSAL	Frédéric
FRANQUET DE FRANQUEVILLE	François de Sales Louis Pierre
FRANCQUEVILLE D'ABANCOURT DE	Pierre Jean Marie
FRANÇOIS-DAINVILLE	Ernest Auguste
GAUTIER	Paul Franz
FREYSSINGE	Louis Charles Joseph
FREULON	Achille
FRET	Joseph Lucien Denis
BURTHE-MIQUE	Pierre Henri François
FRAUMONT	Jacques Auguste Amédée
FRASEY	Victor Alexis
MARTIN	Georges Louis Jules
WOLF	Christian Philippe
WILLARD	Arthur
VINCENT	Marcel Louis
VOGEL	Germaine
VINCENT	Achille Lucien Jacques
VIDAL	Jean Pierre
BLANCHET	Henri Désiré
BARRIÈRE	Félix Léon
FRANÇOIS	Auguste
SOULIÉ	René Marcel
OTTERBEIN	Henri Charles Louis
FRANÇOIS	Elie Louis
TINTHOIN	Roger Marie Geneviève Frédéric
TERRAND	Henri Louis
TERCINET	Edouard Charles
TAYON	René Louis Hyacinthe
MEYER	Georges Alexandre
MERCIER	Victor Charles Auguste
MATON	André Georges Louis
MERCIER	Adrien Jean-Baptiste Léon
MENEAULT	Henri Auguste Marius
MENARD	André François Michel
BARBY	Henry Joseph Camille
APPERT	Pierre Léon Frédéric
MOOG	Robert
MONTEIL	Paul Robert
MOLINIÉ	Henri
MILINAIRE	Jacques Henri Albert Lucien
BRUN	Henri Léon Victor
DESMAZIÈRES	Léon Eugène Marie
DESMASES	Paul Frédéric
DESHAYES	André
GOURET	Georges
GOULLET	Edouard Marcel
HINRIE	Harold Jean Lucien
CUNÉO	Marie Marguerite Madeleine
CRIQUI	Eugène Antoine
CHAPELLIER	Joseph Paul
CHANCEL	Jean Louis Roger
SAUVIAT	Robert Louis
DOUSSINAUD	Georges
HEURLEY	Gilbert Oscar Eugène Edouard Suzanne
CHEVALIER	Jean Paul Marie
CHAUSSIVERT	Henri Louis
DEGROND	Joseph Emmanuel
COULON	Charles Eugène
GALLERY DE LA TREMBLAYE	René Louis Jean
FROIDEVAU	Henri
MAGRIN	Rémond Martial
FOUCHY	Emile André
GOURDAULT	Jean Marie Maurice
HALDAT DU LYS DE	Pierre
FRITSCH	Paul Emile
CARTON DUSSEIGNEUR	Emile François
BÉARN DE	Etienne Gabriel Odon
DREYFUS	Robert Jean
CORRET	Paul François
COHEN	Marcel Samuel Raphaël
CLAUS	Louis Jean Mathias
BOULAY DE	Paul
LUDOT	Jules Emile
LEHMANN	Edmond
ADELSON	Abraham
BAUGER	Jean André
CASSE	Julie Elise Germaine
MAURICE	Albert
NAYRAL DE PUYBUSQUE	Pierre Fernand
BALDINI	Lucien
MILLET	Paul Henri Victor
CHAPELLON	Jacques Jean Marie
BESNARD	Louis Maurice Jacques
PODEVIN	Gustave Victor Alexandre
LEBREC	Noël Léon
BOULANGER	Paul Jules
STADLER	André Georges
RIVET	Charles Pierre
ROBERT	Emile Jules
TERRASSON DE SENEVAS	Etienne André Marie
ROTTAMBOURG	Etienne Maurice Eugène
TERRÉ	René
ROBIN	Marcel François
SCHOU	François Antoine
SABOURET-GARAT DE NEDDE	Georges Marie Victor Robert
MARCELLIER	Jean Alexandre Lucien
HALNA DU FRETAY	Yves François Anne Marie Fidèle
LAMY	Julien Georges
BOURNEL	Louis Raymond Henri
BONDIT	Benjamin
GOUFFÉ	Ernest Paul
HEILBRONN	Adèle Mathilde
ARGER	Gabriel Etienne
ALLEAUDE	Philippe Aimé Stanislas
BICHE	Jean Léon Athanase
BÉRAUD	Pierre Jean Armand Marie
BLANCHARD	Marcel François Marie
BINAY	Charles Frédéric Roger
BERNARD	Raymond
BÉHAR	Albert Marcel
BOUNIN	Jacques Louis Charles
BOULAY	Henri Charles Jules Pierre Marie
BOUIX	Etienne François Henri
KEIL	Louis Auguste
HOPPE	Jean Albert
GAL	Léon Jules
FRAMBOURG	Blanche Magdeleine
FABRE	Antoine Raoul Adolphe
EVROT	Henri Ernest
ESCANDE	Louis Marie Front
EDWARDS	Oscar Emile
LASSERRE	Georges Henri Pierre
LANDON	Emile Edouard
HUMBERT	Jean Louis Auguste
MACARI	Maurice
LHUILLIER	Maurice Gustave
LIBINE	Benjamin
LODÉ	Marcel Eugène François
LOEBNITZ	Louis Jules Joseph
JACOB	Victor Mayer
LAIRE DE	François Roger Marie Joseph
IMHOFF	Albert Victor
JARRETT-KNOTT	Charles Edouard Georges
JAUMIN	René
ISRAËL	Robert Paul
DINISCHIOTU	Marcelle
PETIT	Jacques Charles
PAUNET	Robert Gustave
POUYAUD	Louis
BOUQUEREL	Jacques Henri
BATON	Antoine
MASSU	Suzanne
REYLET	Eugène
PERIER	Casimir Albert Jacques
PRIN	Lucien Paul
RABIAT	Henri Eugène
SAINT QUENTIN DE	Robert Hubert
POMPON	Jacques Henri Raymond
PAIN	Maurice
PETIT	Roger Charles Théophile
PIC	Philippe
WERTHEIM	Pierre Armand
ROQUES	Adrien Antony Maurice
PONSELLE	Frédéric Julien
POIRIER	Julien André
PÉNOT	Raymond Robert
PASQUET	Jacques Jean Marie
POL NEVEUX	Céline Mathilde
VAST	Alphonse Adolphe Gaston
GETTING	Joséphine Isabelle
PÉLISSIER	Gabriel Julien Prosper
ROULLEAU DE LA ROUSSIERE	René Marie Pierre Ferdinand
STEIMER	Charles Lucien
WEBER	Jean Martin
ZADOC-KAHN	Léon
WEST	Philippe Joseph Marie Gaston
RIBAULT	André Charles Eugène
VERGEOT	Raoul Maurice
SIVIEUDE	Charles Louis Joseph
SALMON	Paul
SCHAEFER	André Ferdinand Hubert
POENSIN	Joseph Ernest
RODAYS DE	Fernand Jacques
TRANCHANT	Gaston
PHILIPPE	Emile Victor
LE CHEVALLIER	René Ernest Marie
LELIÈVRE	Etienne Jules Jean
MIRGUET	Charles Emile
LACASSE	Jacques Henri Prosper
LE LEDIER	Georges Henri Marie
LE LEDIER	André Marie Joseph
LEFEBVRE	Roland Albert Jules
LEFEBVRE	Jacques Raymond Edouard
LECOMTE	Maurice Eugène
BLUMENTHAL	Mathilde Henriette
LABBÉ	Léon Henri
LABUSQUIÈRE	René
LABARRE	Francis Antoine Eugène
JACQUARD	Henri Georges
JAMET	Marcel Gaston Emile
JEHANNOT DE BARTILLAT	Marie Camille Armand Charles
JAVAL	Fernand René
DURAND	Victor
DESPRÈS	Ambroise Marie Félix Maurice
DESMOULLIEZ	Albert Charles
DORGE	Henri
DOMMANGE	René Auguste Louis Henri
DUPRÉ	Hélène Cécile Paule
MARTIN	Gaston Philippe Auguste
MADELINE	Léon Félix Marie Joseph
MADDALÉNA	Robert Ercole Léon
MARTIN	Paul Louis Jean
MARTIN DES LONCHAMPS	James Ernest Marie
DEGAINE	Gustave Antoine Marie
FABRE	Héléne Louise
DELAVENNE	Henri Edouard Jean
DROHE	Adolphe
DELAMOTTE	Albert Jean
DEGRAINE	Louis Joseph Constant
DELARUELLE	Léon Nicolas Alphonse
DELARBRE	Emile Jean
DEJEAN DE LA BATIE	Roland Marie Adolphe
DEMARNE	Alfred Louis
DÉLU	Lucien Auguste
DELVIGNE	Léonard Charles
DEMONGODIN	Joseph Louis
DENFERT-ROCHEREAU	Pierre Marie Jules
DELIGNY	Marie Léon Gabriel
DELOYE	Edouard André
DELMAS	Eugène Mathieu
BOUILLOT	Robert
BEURTHERET	Charles Alphonse Emile
BERTIN	Auguste Jean Baptiste Gustave
BARRES	Marcel Fernand
BARBIER	Henri Constant
BALLU	Pierre
AUSSET	Jean Paul
BÉGUÉ	Louis Jules Sylvestre Joseph
BECQ DE FOUQUIÈRES	Patrice
BENEDETTI	Noël
BÉJANNIN	Jean Donat
BERGERON	Michel Jules
ANDIGNÉ D'	Marie René Jean Charles
ANTOINE	Edmond
AUBRY	Paul Marie Joseph
ARON	Maurice
BIDAULT	Marcel Alphonse
ASSELIN	Marie Laurent Charles
ARON	Edmée Clémence Laure
BAUDRAND	Fernand Georges
BASCHET	Joseph Jules
BARON	Marcel
BAILLEUL	René Georges
BAGET	Firmin
ARNOT	Marcel René
AUBLANC	René Gérard
BENARD	Louis Paul
CHABLE	André
AVENARD	Jean Claude
FLIN	Charles Nicolas
FOREST	Auguste Louis Eugène
GRAVELIN	Jacques Auguste Christian
HASSE	Charles Emile
DUPONT	Justin Frédéric
HÉLIGON	Emile Pierre
GATEAU	Paul
HENRY	Georges Auguste
VIENNE DE	Pierre Joseph Henri
RHONÉ	Maurice Augustin
WYTENHOVE	Gustave Joseph Charles
ZIEGEL	Moïse Félix
BUCHILLOT	André Jules Antonin
BEAUCHAMP	Paul Gaston
CALDAGUÈS	Pierre Alexis Louis
BACHELLERY	Félix Henri Fortuné
URAINE	Octave
TUETEY	Louis Frédéric
VINCENT	Georges Emile
SELIGMANN-LUI	Jeanne
STERN	Raymond
BULPORT	Arsène Guillaume
BILLECOCQ	Charles Marie Etienne
CLAUZET	Louis Anatole
BUNGENER	William Charles
PATRY	Raoul Léon Guillaume
VEBER	Francis Hippolyte
SEMICHON	Lucien Joseph
PAROT	Pierre Justin Alphonse
SILVER	Charles
VERLEY	Henri Victor
VIEL-CAZAL	Georges Henry
VEREZ	Emile
VERNIER	Charles Etienne
VANHOOF	François Joseph
VAUDREMER	Lucien Jules
FAURE	Augustin Pierre Jean-Baptiste
DOLLFUS	Ferdinand Philippe Robert
DEMONT	Henri Paul Jean
DELARUELLE	Jacques Joseph
FOUQUEREAU	Marie Georgette
DUPREY	Henri Charles Emile
DUFOURMANTELLE	Charles Marie Eugène
DESTÉ	Henri Charles Georges
TISSEYRE	Paul Jean Baptiste
DETURCK	Jacques Julien Paul
DESTIGNY	Paul Amédée
DÉVÉ	Max Eugène
DU MOUSTIER DE CANCHY	Etienne Jean Xavier Maurice
DUFRENOY	Marie-Louise
DURIVAULT	Gustave Gaston
ELION	Paul Alfred Marie
GUEYMARD	Clément Marius
FOURMENT	Marcel Georges René
GACHE	André Julien
GRANDGUILLOT	Georges Maurice
TRIPOTEAU	Auguste Frédéric
TRUBERT	Léon Henri Ernest
TRAIN	Daniel Eugène Gabriel Georges
TREPSAT	Jules Marie
TORCHEBOEUF	Charles
TOURNAIRE	Camille Lucien
TOURNEUR	Charles Alexandre
DESPRUNIER	Roger
MOOK	René Paul Isaac
MOLLET	Jacques Henri Théophile
MOIRAT	Georges
MONJAUZE	Fernand Lucien Alphonse Marcel
MOULÈNE	Georges Emile Jean
MESGUEN	Théophile Guillaume
MEUNIER	Emile Paul
MELLON	Louis
MÉRIGEAULT	Marc Valentin Gabriel
MERIENNE	Roger Henri Séverin
MEUNIER	André Jules
MEUNIER	Victor Adolphe Paul
MAURÈS DE MALARTIC DE	Arnaud Paul Antoine Marie Joseph
GIROT	Lucien Joseph
MÉNARD	Jacques Arthur
HENRY	Alphonse
FRINAULT	Paul Albert
GUILBAUD	Albert Georges
GURY	Charles
GUILLAUMIN	Jean
GUYOT-SIONNEST	François Marie
ETÉVÉ	Albert Octave
FAUXINSTIER	Marcel André
DIGUET	Henri Marie
DÉPINAY	Pierre Raymond
FRANCK	Georges Michel
FOUSSIER	Jacques Achille
GÉNÉVRIER	Jérôme Marie Léon
GUYON	Marie Edouard Etienne Félix
GRASSET	Hervé Perrin Elie
GODARD	André Julien
GIRARD	Abel Pierre Fernand
DU BREIL DE PONTBRIAND	André Aristide Fernand Marie
FÉVRIER	Maurice Alfred Rémy
GRAILHON	Georges
GOUYON	François
GOURGON	Marcel
GOUGE	René Emile
GOETSCHY	Joseph Charles Eugène
ANDRÉ	Robert
BONVOISIN	Gustave Marie Emmanuel
DEGOUIS	Léon
BICAN	Pierre René
CARMÉ	Maurice
BOUCHARD	Yves Marie
CANIAUX	André Marcel Justin
CÉSAR	André Charles
BROGLIE DE	Jean Marie François Ferdinand
BULLET	François Eugène
BOCQUET	Lucien Albert Ernest Raymond
CASTAING	Jules Félix
BUQUET	Eugène Georges Henri
BRAILLE	Alphonse Eugène Alfred
BOUTERON	René
BOISSELAT	Gabriel Alfred Georges
CARLIER	Jean Auguste Hilaire André
BOUCHERIT	Edouard Jean
BUGAUD	Marcel
ANDRÉ	Edouard
CAILLET	Maurice Henri
THOMAS	Henri André
SOLLÉ	André Léon
TOCQUET	Charles Marie Albert
VALLETEAU	Albert Eugène Joseph
SALOMON	Edouard
VINCENT	Victor
VION	Roger
VIRATELLE	René
REVET	Félix Gustave
ROUSSEAUX	Jean Jules Marie
PECOUD	Lucien Henri Edmond
VIAN	Lucien
WILLENICH DE	Jacques Serge Patrice Hubert
WOOG	Gaston Alfred
TISON	Fernand Edouard Augustin
THÉROUANNE	Georges Pierre François
VINET	Henri Emile
WILLECOT DE RINCQUESEN DE	André Marie Arnold
WIDMAN	Paul Albert
REYNAUD	Marie Thérèse Charlotte Alice
RIANT	Stéphane Marie Joseph Didier
PETIT	Auguste Albert Henri
RHEIN	Henri
RIBEYROLLES	Paul Auguste Pierre
MALICET	Robert Edmond Lucien
MORIN	André Amédée Gabriel
MARTIN	Ferdinand
LE JOINDRE	Henri Clément Marie Charles
LEGUAY	Pierre Adrien
LARAN	Georges Martial Emile Amédée
KERGORLAY DE	Yves Louis Marie
LEPEU	Edmond Jules Bernard
KULA	Pierre Jacques Emile
MARÉCHAL	Lucien Henri
LATAPIE-CAPDERROQUE	André Léon Jean
HOMOLLE	Amélie
VILLER	Charles Freddi
VIGNON	Henri Emile
RICHARD	Léopold Louis
LONGIN	René
BECKER	Raoul
ROULEAUD	Robert Arthur
UBALD-BOCQUET	Georges
LATOURTE	Jean Marie Jules
ROSSI	Félix Raymond
QUEILLÉ	Guy Pierre
BATAILLE	Paul Mary Fernand
BARRAULT	Robert Jean Jacques
BARRAULT	Jean Elie Benjamin
SICAUD	Eugène Pierre
SÉNÉCHAL	René Julien
SCAPINI	Georges
RONDEAU	Marcel Alexandre Eugène
ROCHARD	Albert Jules Marie
AVICE	Jacques
AUDOUIN	Pierre Robert
BARDIN	Jacques Marie Edgar
BARATOUX	Marcel Adolphe
PELTIER	Jeanne Marie Joséphine
RENAULT	Maurice Jean Louis
PAYEN	Marcel Gustave
LÉVÈQUE	Jean Maurice
LAFLÈCHE	Paul Pierre Marie
LEVY	Raoul Eugène
LERMON	Fernand
LEROY	Ernest
LESCAILLE	Albert Jean
LESOBRE	Roger Georges Marcel
RENET	Marcel
RENAULD	Maurice Alexandre
JOULOT	Robert Ernest
GODON	Marcel Pierre
FERRAND	André
FIANCETTE	Georges Claude
POLAK	Charles Joachim
JEUNET	Paul Henri Francis
LANGRAND	Marceau Fernand
JOSSET	André Philippe Eugène
WITT-GUIZOT DE	François Jean Henri
ROBARDEY DE FULL	Elzéar Hippolyte
RIPARD	François Hippolyte
COBLYN	Jacques Henri
CAEN	Julien Jacques
CABOCHE	Paul Georges
ARCHAMBEAUD	Louis Robert Edouard
MOUCHERON DE	Charles Jacques Marie Etienne
LINDET	Jean Marie Auguste
SIMON	Jacques Roger
SCHAEFFER	Charles Lucien
SEYRIG	Henri Roger
SALVIAC DE VIEL CASTEL DE	Louis Charles Joseph
SCHWARTZ	Rodolphe Louis
POGNON	Félix Etienne
PLU	Auguste Jules
PIERRE-BENOIST	Yves Maurice
PICY	Gaston
PICARD	Maurice Gaston
PIRONON	Jean Baptiste Georges
GALLOIS	Pierre Armand Raoul
GÉRÉ	Edouard Alphonse
CATALIFAUD	Paul Charles Louis
PAPPERT	Georges Ernest Pierre Maurice
PASCAL	Marcel
BRISSE	Raoul Georges
BOUYGUES	René Jules Henri
BOUVIER	Henri Joseph Marius
COLIN	Claude Jacques
CAPBER	Pierre
PERRIN	André
PERRIN-WALDEMER	Marcel Pierre Auguste
BOUDARD	Henri Paul François
BERNARD	Jean Louis
CABAUD	Jean Julien Marie Pierre
PABANEL	Raymond André
SCHNEIDER	Eugène
RICHEMOND	Emile Marie Philippe
LE VAILLANT DE CHAUDENAY	Gilles Albert Charles
LEVACHER	Jean
WATTREMEZ	Edouard Paul
PORÉE	Charles Victor Adolphe Jacques
PRUNIER	Pierre
RENAUD	Charles Joseph
PRÉBAY	Frédéric Charles
CLIPET	Théophile Louis Charles
BOURGEOIS	Emile
BUTET	Paul Alexandre
BROSSARD	Gustave Alphonse
AUJAY	Maurice Auguste François
BACRI	Joseph
FABRE	Henri Auguste Antoine
FAURE	René Victor
TOUSSAINT	Eugène Louis
HOUDRY	Maurice Marie
HEITZ	Jules Nicolas Alexandre
GIRIEUD	Pierre Paul Joseph
DUHESME	François Aloys
DESPERT	Albert
MÉZIÈRE	Pierre Jean Léon
GROMBACH	Gabriel Georges
MUCCIOLI	Frédéric Jean Edouard
NATHAN	Jean Marcel Elias
HELLER	Jean Adam
HEIMANN	Pierre
HARCOURT D'	Jean Bernard Armand
LABORIE	Marcel
MONNIER	Marie Georges Henri Laurent
PICARDA	Paul Emile
EDINGER	Alexandre Gampel Georges
GINISTY	Valentin Jean Maurice René
GRENOUILLOUX	Fernand Marcel
METZINGER	Henri Robert
GERMAIN DE SAINT-PIERRE	Fortuné Ernest Guy
GARDY	Paul Marie Philippe
DUMAS	Charles
MARTIN	Marcel Albert Victor
METTETAL	René Henri Frédéric Emile
MOLINIER	René Hervé André
MOUSSET	Henri Albert
GARNIER	Henri Marie Joseph
FREMERY	André
FRANQUELIN	Léon Prosper
TETARD	Henri Georges Félix
POTTIER	René Maurice
