rok,AGATA,AGNIESZKA,ALEKSANDRA,ALICJA,AMELIA,ANETA,ANNA,BARBARA,BEATA,BOŻENA,BOŻENNA,DANUTA,DOROTA,EDYTA,ELŻBIETA,EWA,EWELINA,GRAŻYNA,HALINA,HANNA,HELENA,IRENA,IWONA,IZABELA,JADWIGA,JANINA,JOANNA,JOLANTA,JULIA,JUSTYNA,KAROLINA,KATARZYNA,KLAUDIA,KRYSTYNA,LENA,MAGDALENA,MAJA,MARIA,MARIANNA,MARTA,MARZENA,MAŁGORZATA,MONIKA,NATALIA,OLIWIA,PATRYCJA,PAULINA,RENATA,STANISŁAWA,SYLWIA,TERESA,URSZULA,WANDA,WERONIKA,WIESŁAWA,WIKTORIA,ZOFIA,ZUZANNA
1950,1,5,3,37,1,,154,133,4,16,31,94,6,,168,89,,97,124,20,36,71,,7,91,82,30,29,3,2,,4,,163,,1,,182,63,20,,18,4,1,,,,12,49,,185,27,36,2,62,1,108,3
1951,,3,9,44,1,,159,182,3,25,35,99,1,,163,116,,141,127,29,37,68,7,2,90,64,25,29,4,2,,3,,190,,3,,179,61,19,1,24,,,,,,9,29,,179,46,35,4,61,,126,2
1952,,2,6,41,,,180,162,,16,43,122,1,,167,122,3,174,128,38,39,59,5,4,94,60,23,35,1,2,,5,1,175,1,4,,184,49,26,1,37,1,,,,,8,26,1,187,43,30,2,67,1,141,7
1953,,4,5,55,,,187,162,6,31,52,126,5,,177,129,1,179,124,46,26,65,2,3,122,56,33,34,1,4,,7,,168,,2,,175,45,33,,56,1,1,,,1,14,37,3,180,40,30,2,67,1,88,1
1954,,2,8,63,,,199,175,9,40,54,132,4,,165,136,,169,118,46,21,56,5,2,82,54,40,58,1,1,,2,,166,,7,,183,45,28,1,59,,2,,,,12,21,1,172,42,40,,62,,91,
1955,,3,10,52,,,210,189,9,47,65,110,12,,199,134,1,178,115,55,14,67,4,7,90,40,41,55,1,2,,4,,141,,3,,166,30,40,1,82,1,1,,,,26,21,1,167,50,19,2,56,1,87,2
1956,,9,1,43,,,207,151,11,42,64,97,22,1,192,132,1,168,90,61,23,54,9,3,71,50,49,84,,2,,1,,122,,9,,169,23,30,2,78,4,1,,,,29,13,,156,76,17,1,42,,71,3
1957,3,5,10,41,,,220,164,12,98,15,121,14,1,214,154,,188,99,52,15,54,25,4,75,38,39,99,1,4,,8,,128,,7,,151,25,42,7,87,,,,,,22,17,1,136,69,22,4,47,,83,4
1958,,6,4,49,,1,161,166,31,137,1,94,7,1,168,152,,127,85,37,13,46,29,12,60,31,43,108,,,1,9,,91,,11,,117,17,40,14,112,2,,,,,27,21,1,102,67,11,,43,1,71,3
1959,2,2,5,38,,1,191,125,32,113,2,73,14,,155,162,,126,64,44,9,36,37,7,50,15,55,111,,3,,5,,93,,13,,117,12,37,17,129,6,1,,,,31,7,4,87,60,17,,37,,45,2
