rok,ADAM,ANDRZEJ,ANTONI,ARTUR,BARTOSZ,DAMIAN,DANIEL,DARIUSZ,FILIP,FRANCISZEK,GRZEGORZ,HENRYK,JACEK,JAKUB,JAN,JANUSZ,JAROSŁAW,JERZY,JÓZEF,KACPER,KAMIL,KAZIMIERZ,KRZYSZTOF,LESZEK,MACIEJ,MARCIN,MAREK,MARIAN,MARIUSZ,MATEUSZ,MICHAŁ,MIKOŁAJ,MIROSŁAW,PATRYK,PAWEŁ,PIOTR,PRZEMYSŁAW,RAFAŁ,ROBERT,RYSZARD,SEBASTIAN,STANISŁAW,SZYMON,SŁAWOMIR,TADEUSZ,TOMASZ,WALDEMAR,WIESŁAW,WIKTOR,WOJCIECH,ZBIGNIEW,ŁUKASZ
1950,28,141,10,2,1,,2,1,,7,9,89,15,1,102,50,,103,59,,,46,46,31,2,1,51,66,,,6,1,14,,4,16,2,,,85,,117,,8,86,11,33,51,9,28,73,
1951,36,147,22,2,1,,1,3,,9,19,72,21,1,101,69,2,101,44,,,48,55,41,4,5,69,46,,,7,1,13,,5,20,2,,8,94,,111,3,9,83,13,50,37,5,24,94,
1952,43,168,19,,,,,7,,4,26,59,22,,85,87,2,135,45,,,44,76,50,5,,76,64,,1,1,,22,,12,27,,,6,91,,95,1,14,94,13,38,59,8,30,107,
1953,31,173,18,2,,,1,9,,4,22,67,17,,87,64,3,141,52,,,35,72,49,4,,81,47,2,,9,2,27,,4,37,1,,7,101,,113,,25,84,20,50,51,6,34,97,
1954,37,166,9,3,,,1,10,,,32,49,22,,80,84,11,116,38,,,35,91,59,3,1,100,59,3,,9,1,34,,9,26,3,1,9,89,,96,1,22,80,17,57,48,6,33,100,1
1955,39,179,17,4,,,,21,,3,29,54,26,1,67,84,9,118,39,,,35,131,50,10,1,112,53,6,,4,,37,,5,32,2,1,8,103,,96,,23,63,30,69,63,7,26,123,
1956,36,203,6,4,,,,19,,5,26,42,22,1,72,93,7,122,39,,,35,145,57,4,4,114,42,8,,1,,63,,6,33,2,1,13,86,,79,,35,63,19,66,54,3,33,103,1
1957,43,191,9,11,,,1,24,,5,27,54,33,1,47,91,12,106,31,,,30,169,53,10,,126,34,14,,8,,73,,12,46,2,1,11,84,,81,,31,56,20,52,58,1,46,91,
1958,35,197,5,16,,1,2,42,,3,39,41,41,1,60,79,16,106,32,,,40,136,50,8,2,115,37,13,,7,,74,,11,48,4,2,18,75,,63,,44,58,34,66,66,3,36,90,
1959,30,176,5,17,,,1,63,,,30,44,49,1,60,75,16,79,20,,,20,140,46,10,,106,32,18,,4,,82,,9,51,3,1,20,52,,38,1,53,42,29,63,49,6,40,102,
1960,30,159,6,18,,,,85,,,44,30,47,,47,43,21,79,17,,,20,164,43,3,3,107,14,16,,3,,74,,8,48,5,,30,43,,54,1,45,36,38,52,45,,32,84,
1961,29,146,8,24,,,1,110,,,37,24,43,2,29,42,30,67,17,,,22,132,36,6,4,87,12,24,,2,,82,,9,68,2,,22,32,,42,,54,37,44,47,25,4,32,72,
1962,38,146,6,30,,1,,107,,,29,16,44,1,30,58,32,55,10,,,10,125,35,10,2,94,14,12,1,5,,64,,10,75,5,,31,28,,38,1,57,22,44,43,29,2,31,76,
1963,29,129,1,37,2,,,122,,,53,16,65,,19,36,41,57,10,,1,14,128,22,12,1,108,7,33,,1,1,82,,17,73,6,2,45,24,,33,1,66,21,54,43,27,,48,60,
1964,30,121,2,35,,,1,147,,1,53,10,61,,18,38,40,53,7,,,8,95,46,6,2,101,8,35,,2,,71,,20,74,2,,71,31,,22,2,51,12,51,34,20,2,35,57,
1965,36,136,2,45,2,,,146,,1,69,6,82,,16,40,44,35,9,,1,7,96,26,18,3,97,10,31,,6,,71,,27,118,13,3,73,21,,13,,61,20,70,39,19,1,40,42,
1966,43,120,1,63,1,,1,128,,,67,11,86,2,17,33,49,30,9,,,4,108,17,10,4,97,7,28,,3,1,45,,29,146,11,3,88,19,,21,1,67,11,77,28,8,1,41,40,
1967,40,100,2,56,1,1,2,110,,,71,9,76,3,13,30,43,20,3,,,7,103,22,6,7,84,4,28,,3,,52,,41,126,12,3,83,18,,15,1,51,14,66,23,17,,30,51,1
1968,48,115,,76,1,,,128,,1,82,7,86,1,8,34,58,31,2,,1,4,100,31,15,20,80,3,41,,7,1,51,,58,154,12,5,98,21,,7,1,66,11,92,17,14,2,38,54,1
1969,51,115,3,81,3,1,2,119,,,79,7,93,2,7,20,67,23,4,,1,1,100,32,11,21,85,4,71,,6,,49,,42,156,8,7,104,11,1,8,1,69,5,122,22,7,2,33,33,
1970,53,131,,77,4,1,,128,1,1,96,5,86,3,5,19,54,14,7,,,5,100,19,26,42,91,4,94,1,21,,27,,60,150,10,7,86,6,7,15,2,71,6,104,22,5,1,40,35,1
1971,54,123,1,65,2,,1,85,,1,109,2,70,3,8,23,49,17,2,,3,2,114,15,14,66,89,2,100,2,35,1,25,,89,177,13,18,102,5,,7,2,51,8,118,29,4,,46,25,1
1972,46,114,2,79,9,1,1,103,,,135,2,81,4,2,16,61,14,4,,1,2,120,8,28,66,84,6,133,,26,2,29,,73,164,15,23,89,12,9,7,1,46,7,174,15,4,4,50,48,7
1973,49,109,1,93,4,2,8,77,1,1,124,1,56,7,5,15,61,18,6,,2,3,97,14,23,91,70,2,146,1,29,,23,,124,194,20,32,105,4,8,10,1,41,3,141,13,6,1,48,20,6
1974,60,102,1,95,13,1,9,65,2,,138,5,74,10,2,14,71,8,4,1,5,2,131,14,22,123,68,1,147,1,44,1,32,2,153,174,24,42,92,3,23,6,4,47,4,173,10,6,3,41,22,11
1975,54,105,1,93,9,3,25,64,2,1,158,,68,7,1,10,37,13,,,9,1,88,12,29,168,82,1,148,3,63,1,26,3,139,175,12,96,103,1,34,6,5,46,3,167,8,6,1,43,16,19
1976,50,82,2,78,16,3,22,60,1,,144,1,71,20,4,11,64,14,1,2,2,3,121,9,42,204,62,3,118,4,75,,33,2,164,175,19,76,81,9,33,4,3,49,3,187,7,1,3,52,17,25
1977,48,71,,74,16,7,18,63,1,,133,2,60,19,4,2,64,9,2,,14,1,107,14,30,184,63,1,104,7,102,2,15,6,167,170,43,92,76,5,42,2,4,36,6,162,5,,5,51,17,38
