imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EDWARD,M,30,33,26,33,27,26,27,17,22,10,9,5,5,3,5,7,3,,4,4,2,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,
ALEKS,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,,4,1,2,2,2,5,5,7,4,5,2,,2,4,2
MICHAL,M,6,7,1,9,9,4,1,8,7,4,3,2,5,1,2,6,3,3,7,6,21,35,26,29,44,63,75,102,128,167,177,175,185,218,197,189,187,181,183,157,167,147,140,116,122,103,86,89,95,101,82,79,91,75,66,63,72,58,68,69,76,68,62,69,49,58,39
ANDRZEJ,M,141,147,168,173,166,179,203,191,197,176,159,146,146,129,121,136,120,100,115,115,131,123,114,109,102,105,82,71,70,57,48,45,48,50,42,44,39,19,23,12,17,17,16,11,8,12,5,13,4,6,8,8,3,3,3,3,2,1,6,3,3,,4,2,5,2,4
PIOTR,M,16,20,27,37,26,32,33,46,48,51,48,68,75,73,74,118,146,126,154,156,150,177,164,194,174,175,175,170,173,173,188,148,178,209,169,173,149,131,143,128,96,120,110,69,79,69,59,56,57,51,45,36,34,40,43,34,53,35,35,41,36,38,38,40,38,45,22
JACEK,M,15,21,22,17,22,26,22,33,41,49,47,43,44,65,61,82,86,76,86,93,86,70,81,56,74,68,71,60,66,55,54,49,37,41,28,34,21,20,27,27,19,13,17,13,11,9,2,9,1,6,6,2,1,2,3,5,5,1,3,4,2,3,1,2,1,3,3
ADOLF,M,1,,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRIAN,M,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,1,1,,1,1,2,1,,,,1,2,1,,,,1,,,1,1,,2,1,1,,6,1,7,3,3,5,2,2,5,4,3,2,1
RADOSLAW,M,,,,1,,,,,1,2,,3,2,4,4,1,7,10,10,10,9,8,20,12,21,19,28,30,29,34,42,29,25,29,26,26,22,22,20,21,22,7,17,11,14,10,8,8,10,9,4,4,6,6,4,3,5,4,5,3,5,4,2,5,4,6,3
JULIAN,M,1,3,1,,3,3,3,1,1,2,1,,3,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,1,5,,2,2,,,4,4,5,11,11,12,13,15,13,9
WLODZIMIERZ,M,16,18,27,26,26,22,28,15,14,14,18,9,11,9,7,2,6,4,4,5,3,1,2,2,3,2,,1,4,1,,1,1,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,
TEODOR,M,2,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,1,1,,5,
REMIGIUSZ,M,,2,1,1,,1,,2,2,1,3,1,2,3,1,,2,3,2,1,1,1,2,4,2,2,4,7,4,,4,,4,1,1,1,2,1,1,,1,3,1,1,,1,,,,,1,2,2,2,3,2,2,4,,2,1,4,2,2,,2,
PRZEMYSLAW,M,2,2,,1,3,2,2,2,4,3,5,2,5,6,2,13,11,12,12,8,10,13,15,20,24,12,19,43,42,46,40,32,56,62,62,48,53,28,51,32,29,22,22,18,28,32,22,14,20,15,14,12,9,13,7,5,9,18,6,6,8,7,7,4,3,7,3
JERZY,M,103,101,135,141,116,118,122,106,106,79,79,67,55,57,53,35,30,20,31,23,14,17,14,18,8,13,14,9,4,3,7,7,1,3,4,3,1,3,1,2,2,3,1,,2,,1,1,,1,1,,1,1,,2,1,1,1,2,1,1,3,2,2,3,2
EDMUND,M,9,3,,6,4,6,3,,3,4,,2,3,,2,1,1,,,1,,1,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
WALDEMAR,M,33,50,38,50,57,69,66,52,66,63,52,47,43,43,34,39,28,23,17,22,22,29,15,13,10,8,7,5,7,8,8,4,5,1,3,,4,1,2,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
BOLESLAW,M,6,7,9,2,2,1,4,,3,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1
KAROL,M,,4,1,3,2,3,1,3,1,1,1,2,1,2,,3,1,2,1,1,,4,4,3,5,2,5,7,10,18,25,29,25,47,44,47,39,47,48,47,43,32,42,40,41,36,42,36,36,32,38,16,29,23,14,42,36,26,33,26,30,31,29,24,21,21,12
SZYMON,M,,3,1,,1,,,,,1,1,,1,1,2,,1,1,1,1,2,2,1,1,4,5,3,4,2,4,3,10,13,14,14,12,7,8,13,10,16,8,10,10,15,14,21,18,20,44,27,37,23,51,47,51,64,88,66,91,93,83,74,51,61,61,31
GABRIEL,M,,2,2,3,,1,2,1,,1,1,1,1,3,1,2,,,,2,1,,,1,1,,2,2,1,2,2,,1,,1,1,3,2,1,2,1,2,,3,1,5,2,3,5,3,2,7,7,2,4,11,11,10,15,16,18,28,20,14,22,27,9
WACLAW,M,7,4,10,5,9,6,5,2,2,4,3,,1,,1,3,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
BLAZEJ,M,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,2,,3,1,5,4,,3,1,2,,2,2,1,2,2,,5,1,3,2,1,1,,4,3,2,2,4,6,10,6,4,14,5,7,10,5
SEWERYN,M,,1,,,,1,,,,,,,,1,,,,,,,,,,1,2,,,,1,5,1,3,2,2,1,1,,1,,1,,1,,,1,,,1,1,1,,,4,1,2,3,,3,1,2,1,3,4,3,2,3,5
LUCJAN,M,7,10,7,13,10,5,7,2,5,3,4,1,,5,3,3,,1,2,,1,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
LECH,M,11,10,12,10,9,15,11,6,9,8,6,6,5,2,3,5,2,,2,1,1,2,1,2,,,1,,,1,,1,4,4,1,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
LUKASZ,M,,,,,1,,1,,,,,,,,,,,1,1,,1,1,7,6,11,19,25,38,33,59,104,214,197,250,269,229,161,119,161,135,98,87,85,73,57,49,46,34,35,25,28,22,29,17,19,20,18,17,15,18,17,19,15,9,5,6,6
ROBERT,M,,8,6,7,9,8,13,11,18,20,30,22,31,45,71,73,88,83,98,104,86,102,89,105,92,103,81,76,45,61,52,33,56,40,19,30,24,23,19,10,12,19,9,15,13,9,11,6,3,10,6,5,5,2,3,6,5,5,7,4,3,6,4,8,3,3,2
NORBERT,M,,,,1,,,,,1,,1,,,2,,1,1,1,2,1,,6,7,5,7,12,6,9,6,4,6,3,2,3,2,6,8,1,2,4,8,7,5,2,2,7,4,5,14,3,5,5,5,3,4,6,2,6,3,3,4,3,,2,2,2,1
MATEUSZ,M,,,1,,,,,,,,,,1,,,,,,,,1,2,,1,1,3,4,7,3,10,14,12,11,20,23,43,76,59,72,87,103,140,109,134,89,110,94,96,86,64,84,78,85,60,82,78,63,65,72,69,52,56,49,58,48,43,22
HUBERT,M,,1,,1,,,1,,,1,,2,,,1,1,2,2,2,,3,2,6,6,9,13,9,8,13,16,11,3,7,10,7,5,6,5,6,8,5,12,8,7,12,4,8,12,10,12,20,14,16,11,13,21,25,11,8,17,21,15,14,10,20,15,4
KONSTANTY,M,1,1,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,1,,,,1,2,1,1,2,1,2,,4,3,6,6
FELIKS,M,2,,5,1,1,1,,,2,1,1,,2,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,1,1,1,,2
