IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANTONI,MĘŻCZYZNA,8550
JAN,MĘŻCZYZNA,8032
JAKUB,MĘŻCZYZNA,7966
ALEKSANDER,MĘŻCZYZNA,7432
SZYMON,MĘŻCZYZNA,7177
FRANCISZEK,MĘŻCZYZNA,6805
FILIP,MĘŻCZYZNA,6169
MIKOŁAJ,MĘŻCZYZNA,5786
WOJCIECH,MĘŻCZYZNA,5468
ADAM,MĘŻCZYZNA,4899
KACPER,MĘŻCZYZNA,4889
STANISŁAW,MĘŻCZYZNA,4812
MARCEL,MĘŻCZYZNA,4368
LEON,MĘŻCZYZNA,4345
MICHAŁ,MĘŻCZYZNA,4165
NIKODEM,MĘŻCZYZNA,3932
TYMON,MĘŻCZYZNA,3670
IGNACY,MĘŻCZYZNA,3613
WIKTOR,MĘŻCZYZNA,3558
IGOR,MĘŻCZYZNA,3362
OLIWIER,MĘŻCZYZNA,3202
PIOTR,MĘŻCZYZNA,3085
MAKSYMILIAN,MĘŻCZYZNA,2955
MIŁOSZ,MĘŻCZYZNA,2887
TYMOTEUSZ,MĘŻCZYZNA,2611
BARTOSZ,MĘŻCZYZNA,2464
OSKAR,MĘŻCZYZNA,2398
MATEUSZ,MĘŻCZYZNA,2310
JULIAN,MĘŻCZYZNA,2259
DAWID,MĘŻCZYZNA,2228
KRZYSZTOF,MĘŻCZYZNA,2031
ALAN,MĘŻCZYZNA,2006
KAROL,MĘŻCZYZNA,1923
TOMASZ,MĘŻCZYZNA,1875
DOMINIK,MĘŻCZYZNA,1852
GABRIEL,MĘŻCZYZNA,1788
HUBERT,MĘŻCZYZNA,1682
MACIEJ,MĘŻCZYZNA,1593
FABIAN,MĘŻCZYZNA,1555
PAWEŁ,MĘŻCZYZNA,1355
BRUNO,MĘŻCZYZNA,1286
NATAN,MĘŻCZYZNA,1273
BORYS,MĘŻCZYZNA,1129
KAMIL,MĘŻCZYZNA,1122
KSAWERY,MĘŻCZYZNA,1111
BARTŁOMIEJ,MĘŻCZYZNA,1015
KAJETAN,MĘŻCZYZNA,959
ARTUR,MĘŻCZYZNA,955
PATRYK,MĘŻCZYZNA,940
ADRIAN,MĘŻCZYZNA,925
SEBASTIAN,MĘŻCZYZNA,903
OLAF,MĘŻCZYZNA,882
KUBA,MĘŻCZYZNA,882
TADEUSZ,MĘŻCZYZNA,809
CEZARY,MĘŻCZYZNA,789
GRZEGORZ,MĘŻCZYZNA,758
KRYSTIAN,MĘŻCZYZNA,706
DANIEL,MĘŻCZYZNA,659
WITOLD,MĘŻCZYZNA,644
ERYK,MĘŻCZYZNA,617
KORNEL,MĘŻCZYZNA,606
HENRYK,MĘŻCZYZNA,564
ŁUKASZ,MĘŻCZYZNA,562
JÓZEF,MĘŻCZYZNA,549
MARCIN,MĘŻCZYZNA,545
JERZY,MĘŻCZYZNA,510
BŁAŻEJ,MĘŻCZYZNA,505
MILAN,MĘŻCZYZNA,490
KAZIMIERZ,MĘŻCZYZNA,486
OLIVIER,MĘŻCZYZNA,483
MIESZKO,MĘŻCZYZNA,476
RAFAŁ,MĘŻCZYZNA,458
TOBIASZ,MĘŻCZYZNA,458
LEONARD,MĘŻCZYZNA,455
DAMIAN,MĘŻCZYZNA,452
EMIL,MĘŻCZYZNA,445
STEFAN,MĘŻCZYZNA,431
ROBERT,MĘŻCZYZNA,422
TEODOR,MĘŻCZYZNA,412
KONSTANTY,MĘŻCZYZNA,408
PRZEMYSŁAW,MĘŻCZYZNA,406
RADOSŁAW,MĘŻCZYZNA,395
ALEX,MĘŻCZYZNA,372
ALEKS,MĘŻCZYZNA,369
KONRAD,MĘŻCZYZNA,364
RYSZARD,MĘŻCZYZNA,363
GUSTAW,MĘŻCZYZNA,358
NATANIEL,MĘŻCZYZNA,342
MAREK,MĘŻCZYZNA,320
LEO,MĘŻCZYZNA,319
JULIUSZ,MĘŻCZYZNA,288
JEREMI,MĘŻCZYZNA,287
ALEXANDER,MĘŻCZYZNA,286
FELIKS,MĘŻCZYZNA,279
GRACJAN,MĘŻCZYZNA,266
ARKADIUSZ,MĘŻCZYZNA,258
ANDRZEJ,MĘŻCZYZNA,249
ALBERT,MĘŻCZYZNA,247
REMIGIUSZ,MĘŻCZYZNA,244
IWO,MĘŻCZYZNA,234
FLORIAN,MĘŻCZYZNA,220
JACEK,MĘŻCZYZNA,218
DORIAN,MĘŻCZYZNA,216
KORDIAN,MĘŻCZYZNA,215
JĘDRZEJ,MĘŻCZYZNA,205
LUDWIK,MĘŻCZYZNA,199
MAKSYM,MĘŻCZYZNA,185
SEWERYN,MĘŻCZYZNA,163
BRAJAN,MĘŻCZYZNA,161
