IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,6337
PIOTR,MĘŻCZYZNA,4202
STANISŁAW,MĘŻCZYZNA,2918
KRZYSZTOF,MĘŻCZYZNA,2641
JÓZEF,MĘŻCZYZNA,2574
MICHAŁ,MĘŻCZYZNA,2523
PAWEŁ,MĘŻCZYZNA,2480
ADAM,MĘŻCZYZNA,2050
TOMASZ,MĘŻCZYZNA,2049
ANDRZEJ,MĘŻCZYZNA,2048
JAKUB,MĘŻCZYZNA,1940
FRANCISZEK,MĘŻCZYZNA,1922
ANTONI,MĘŻCZYZNA,1813
ALEKSANDER,MĘŻCZYZNA,1764
ŁUKASZ,MĘŻCZYZNA,1759
MARCIN,MĘŻCZYZNA,1575
MAREK,MĘŻCZYZNA,1553
MATEUSZ,MĘŻCZYZNA,1545
WOJCIECH,MĘŻCZYZNA,1529
JERZY,MĘŻCZYZNA,1286
TADEUSZ,MĘŻCZYZNA,1261
GRZEGORZ,MĘŻCZYZNA,1156
MIKOŁAJ,MĘŻCZYZNA,1117
KAROL,MĘŻCZYZNA,1079
DAWID,MĘŻCZYZNA,1040
SZYMON,MĘŻCZYZNA,1016
HENRYK,MĘŻCZYZNA,945
KAZIMIERZ,MĘŻCZYZNA,930
MACIEJ,MĘŻCZYZNA,927
KAMIL,MĘŻCZYZNA,906
FILIP,MĘŻCZYZNA,834
RAFAŁ,MĘŻCZYZNA,830
RYSZARD,MĘŻCZYZNA,764
ZBIGNIEW,MĘŻCZYZNA,723
ROBERT,MĘŻCZYZNA,718
MAKSYMILIAN,MĘŻCZYZNA,699
WIKTOR,MĘŻCZYZNA,694
KACPER,MĘŻCZYZNA,680
DOMINIK,MĘŻCZYZNA,671
SEBASTIAN,MĘŻCZYZNA,666
DARIUSZ,MĘŻCZYZNA,662
MARIUSZ,MĘŻCZYZNA,647
PATRYK,MĘŻCZYZNA,615
DAMIAN,MĘŻCZYZNA,608
ARTUR,MĘŻCZYZNA,600
JACEK,MĘŻCZYZNA,584
LEON,MĘŻCZYZNA,578
GABRIEL,MĘŻCZYZNA,574
IGNACY,MĘŻCZYZNA,562
DANIEL,MĘŻCZYZNA,547
BARTOSZ,MĘŻCZYZNA,535
ADRIAN,MĘŻCZYZNA,494
WŁADYSŁAW,MĘŻCZYZNA,463
MIROSŁAW,MĘŻCZYZNA,424
ROMAN,MĘŻCZYZNA,399
MARIAN,MĘŻCZYZNA,395
BARTŁOMIEJ,MĘŻCZYZNA,392
EDWARD,MĘŻCZYZNA,390
STEFAN,MĘŻCZYZNA,380
PRZEMYSŁAW,MĘŻCZYZNA,374
JANUSZ,MĘŻCZYZNA,368
SŁAWOMIR,MĘŻCZYZNA,343
ARKADIUSZ,MĘŻCZYZNA,340
JULIAN,MĘŻCZYZNA,334
KRYSTIAN,MĘŻCZYZNA,333
JAROSŁAW,MĘŻCZYZNA,319
MARCEL,MĘŻCZYZNA,307
OLIWIER,MĘŻCZYZNA,298
NIKODEM,MĘŻCZYZNA,296
HUBERT,MĘŻCZYZNA,291
MIŁOSZ,MĘŻCZYZNA,283
LESZEK,MĘŻCZYZNA,282
IGOR,MĘŻCZYZNA,278
KONRAD,MĘŻCZYZNA,276
OSKAR,MĘŻCZYZNA,251
MIECZYSŁAW,MĘŻCZYZNA,250
RADOSŁAW,MĘŻCZYZNA,229
WIESŁAW,MĘŻCZYZNA,228
BOGDAN,MĘŻCZYZNA,225
CZESŁAW,MĘŻCZYZNA,219
ZYGMUNT,MĘŻCZYZNA,207
SYLWESTER,MĘŻCZYZNA,202
KSAWERY,MĘŻCZYZNA,183
WALDEMAR,MĘŻCZYZNA,181
ALAN,MĘŻCZYZNA,178
WITOLD,MĘŻCZYZNA,176
ZDZISŁAW,MĘŻCZYZNA,175
TYMOTEUSZ,MĘŻCZYZNA,159
TYMON,MĘŻCZYZNA,157
BOGUSŁAW,MĘŻCZYZNA,155
FABIAN,MĘŻCZYZNA,151
EMIL,MĘŻCZYZNA,150
FELIKS,MĘŻCZYZNA,140
EUGENIUSZ,MĘŻCZYZNA,136
BŁAŻEJ,MĘŻCZYZNA,134
BRUNO,MĘŻCZYZNA,134
BOLESŁAW,MĘŻCZYZNA,128
NATAN,MĘŻCZYZNA,126
KAJETAN,MĘŻCZYZNA,126
LUDWIK,MĘŻCZYZNA,125
CEZARY,MĘŻCZYZNA,125
ALBERT,MĘŻCZYZNA,122
ERYK,MĘŻCZYZNA,119
OLAF,MĘŻCZYZNA,119
IRENEUSZ,MĘŻCZYZNA,112
FLORIAN,MĘŻCZYZNA,108
SZCZEPAN,MĘŻCZYZNA,107
NORBERT,MĘŻCZYZNA,98
BRONISŁAW,MĘŻCZYZNA,95
TEODOR,MĘŻCZYZNA,92
KONSTANTY,MĘŻCZYZNA,91
BORYS,MĘŻCZYZNA,89
FRYDERYK,MĘŻCZYZNA,88
LUCJAN,MĘŻCZYZNA,88
LECH,MĘŻCZYZNA,86
ZENON,MĘŻCZYZNA,83
WŁODZIMIERZ,MĘŻCZYZNA,82
BERNARD,MĘŻCZYZNA,81
SEWERYN,MĘŻCZYZNA,81
GUSTAW,MĘŻCZYZNA,80
SAMUEL,MĘŻCZYZNA,78
MIESZKO,MĘŻCZYZNA,77
EDMUND,MĘŻCZYZNA,69
TOBIASZ,MĘŻCZYZNA,67
ALEXANDER,MĘŻCZYZNA,67
NATANIEL,MĘŻCZYZNA,66
KORNEL,MĘŻCZYZNA,66
KUBA,MĘŻCZYZNA,66
LEONARD,MĘŻCZYZNA,66
WACŁAW,MĘŻCZYZNA,63
WINCENTY,MĘŻCZYZNA,59
JOACHIM,MĘŻCZYZNA,57
GERARD,MĘŻCZYZNA,56
JULIUSZ,MĘŻCZYZNA,53
GRACJAN,MĘŻCZYZNA,52
REMIGIUSZ,MĘŻCZYZNA,49
ROCH,MĘŻCZYZNA,49
ERNEST,MĘŻCZYZNA,48
JEREMI,MĘŻCZYZNA,48
CYPRIAN,MĘŻCZYZNA,48
MARIA,MĘŻCZYZNA,47
LEO,MĘŻCZYZNA,44
BENEDYKT,MĘŻCZYZNA,43
AUGUSTYN,MĘŻCZYZNA,43
IWO,MĘŻCZYZNA,39
WALENTY,MĘŻCZYZNA,39
BOGUMIŁ,MĘŻCZYZNA,39
MILAN,MĘŻCZYZNA,37
DORIAN,MĘŻCZYZNA,36
BENIAMIN,MĘŻCZYZNA,36
EMANUEL,MĘŻCZYZNA,36
ALEX,MĘŻCZYZNA,34
LEW,MĘŻCZYZNA,34
OLIVIER,MĘŻCZYZNA,34
DAVID,MĘŻCZYZNA,32
ALFRED,MĘŻCZYZNA,31
ALOJZY,MĘŻCZYZNA,30
ALEKS,MĘŻCZYZNA,29
AMADEUSZ,MĘŻCZYZNA,29
MAURYCY,MĘŻCZYZNA,29
WILHELM,MĘŻCZYZNA,28
ALEKSY,MĘŻCZYZNA,28
KORDIAN,MĘŻCZYZNA,28
KOSMA,MĘŻCZYZNA,27
MARCELI,MĘŻCZYZNA,27
JĘDRZEJ,MĘŻCZYZNA,27
LESŁAW,MĘŻCZYZNA,26
WIT,MĘŻCZYZNA,26
BOŻYDAR,MĘŻCZYZNA,25
HUGO,MĘŻCZYZNA,25
OLGIERD,MĘŻCZYZNA,25
TYTUS,MĘŻCZYZNA,24
LEOPOLD,MĘŻCZYZNA,24
AUGUST,MĘŻCZYZNA,24
BRAJAN,MĘŻCZYZNA,24
GNIEWKO,MĘŻCZYZNA,23
ROMUALD,MĘŻCZYZNA,23
ERWIN,MĘŻCZYZNA,20
MAKSYM,MĘŻCZYZNA,20
HIERONIM,MĘŻCZYZNA,20
JEREMIASZ,MĘŻCZYZNA,20
MICHAEL,MĘŻCZYZNA,19
WAWRZYNIEC,MĘŻCZYZNA,19
ARON,MĘŻCZYZNA,18
MAX,MĘŻCZYZNA,18
EMILIAN,MĘŻCZYZNA,18
OKTAWIAN,MĘŻCZYZNA,18
ELIASZ,MĘŻCZYZNA,18
VINCENT,MĘŻCZYZNA,18
ARIEL,MĘŻCZYZNA,17
GNIEWOMIR,MĘŻCZYZNA,17
KLAUDIUSZ,MĘŻCZYZNA,17
TEOFIL,MĘŻCZYZNA,16
JOSEPH,MĘŻCZYZNA,16
KLEMENS,MĘŻCZYZNA,16
-,MĘŻCZYZNA,16
DENIS,MĘŻCZYZNA,15
WILLIAM,MĘŻCZYZNA,15
BRUNON,MĘŻCZYZNA,14
DOBROMIR,MĘŻCZYZNA,14
IZYDOR,MĘŻCZYZNA,14
JAMES,MĘŻCZYZNA,14
MAXIMILIAN,MĘŻCZYZNA,14
JOHN,MĘŻCZYZNA,14
ALI,MĘŻCZYZNA,13
CYRYL,MĘŻCZYZNA,13
RAJMUND,MĘŻCZYZNA,13
PETER,MĘŻCZYZNA,13
JOZEF,MĘŻCZYZNA,13
ANTHONY,MĘŻCZYZNA,13
ANATOL,MĘŻCZYZNA,13
MARTIN,MĘŻCZYZNA,13
STANISLAW,MĘŻCZYZNA,12
THOMAS,MĘŻCZYZNA,12
WINCENT,MĘŻCZYZNA,12
RUDOLF,MĘŻCZYZNA,12
KEVIN,MĘŻCZYZNA,12
JONATAN,MĘŻCZYZNA,12
LONGIN,MĘŻCZYZNA,12
GERALT,MĘŻCZYZNA,12
HENRY,MĘŻCZYZNA,12
ZIEMOWIT,MĘŻCZYZNA,11
KRZESIMIR,MĘŻCZYZNA,11
ARNOLD,MĘŻCZYZNA,11
FELICJAN,MĘŻCZYZNA,11
ANTONIO,MĘŻCZYZNA,11
AARON,MĘŻCZYZNA,10
EDWIN,MĘŻCZYZNA,10
WENANTY,MĘŻCZYZNA,10
NOE,MĘŻCZYZNA,10
MAKS,MĘŻCZYZNA,10
JONASZ,MĘŻCZYZNA,10
KRYSPIN,MĘŻCZYZNA,10
KASJAN,MĘŻCZYZNA,10
BENJAMIN,MĘŻCZYZNA,10
NOEL,MĘŻCZYZNA,10
TYBERIUSZ,MĘŻCZYZNA,10
PAUL,MĘŻCZYZNA,9
ZACHARY,MĘŻCZYZNA,9
CHARBEL,MĘŻCZYZNA,9
ALBIN,MĘŻCZYZNA,9
SERGIUSZ,MĘŻCZYZNA,9
GEORGE,MĘŻCZYZNA,9
LEONARDO,MĘŻCZYZNA,9
DIONIZY,MĘŻCZYZNA,9
JACOB,MĘŻCZYZNA,9
KORNELIUSZ,MĘŻCZYZNA,9
ERIC,MĘŻCZYZNA,8
SERAFIN,MĘŻCZYZNA,8
IWAN,MĘŻCZYZNA,8
LIAM,MĘŻCZYZNA,8
WALERIAN,MĘŻCZYZNA,8
JAROMIR,MĘŻCZYZNA,8
NOAH,MĘŻCZYZNA,8
