IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARIA,KOBIETA,8592
ANNA,KOBIETA,6344
ZOFIA,KOBIETA,2720
MAGDALENA,KOBIETA,2248
KATARZYNA,KOBIETA,1893
WIKTORIA,KOBIETA,1743
HELENA,KOBIETA,1714
ALEKSANDRA,KOBIETA,1645
JULIA,KOBIETA,1632
EWA,KOBIETA,1583
MAŁGORZATA,KOBIETA,1573
BARBARA,KOBIETA,1530
ALICJA,KOBIETA,1328
JOANNA,KOBIETA,1167
WERONIKA,KOBIETA,1141
ŁUCJA,KOBIETA,1122
ELŻBIETA,KOBIETA,1120
KAROLINA,KOBIETA,1115
NATALIA,KOBIETA,1111
AGNIESZKA,KOBIETA,1100
ZUZANNA,KOBIETA,1038
TERESA,KOBIETA,962
EMILIA,KOBIETA,956
MARTA,KOBIETA,913
KRYSTYNA,KOBIETA,901
ANTONINA,KOBIETA,847
MAJA,KOBIETA,839
HANNA,KOBIETA,838
OLIWIA,KOBIETA,787
MONIKA,KOBIETA,779
LAURA,KOBIETA,699
JADWIGA,KOBIETA,693
JANINA,KOBIETA,677
PAULINA,KOBIETA,676
ANASTAZJA,KOBIETA,674
LENA,KOBIETA,646
AMELIA,KOBIETA,626
AGATA,KOBIETA,587
KLARA,KOBIETA,581
RITA,KOBIETA,578
MICHALINA,KOBIETA,573
DOROTA,KOBIETA,567
DANUTA,KOBIETA,558
GABRIELA,KOBIETA,558
KINGA,KOBIETA,553
IRENA,KOBIETA,549
MARIANNA,KOBIETA,526
RÓŻA,KOBIETA,496
IZABELA,KOBIETA,484
URSZULA,KOBIETA,484
ANIELA,KOBIETA,443
PATRYCJA,KOBIETA,439
JUSTYNA,KOBIETA,421
DOMINIKA,KOBIETA,415
BEATA,KOBIETA,408
JOLANTA,KOBIETA,362
KLAUDIA,KOBIETA,347
MARCELINA,KOBIETA,344
KAMILA,KOBIETA,341
NADIA,KOBIETA,336
HALINA,KOBIETA,332
JAGODA,KOBIETA,326
MARTYNA,KOBIETA,316
STEFANIA,KOBIETA,315
WANDA,KOBIETA,308
IWONA,KOBIETA,307
SYLWIA,KOBIETA,302
KORNELIA,KOBIETA,298
FAUSTYNA,KOBIETA,282
LILIANA,KOBIETA,273
EWELINA,KOBIETA,262
GRAŻYNA,KOBIETA,256
LIDIA,KOBIETA,252
ROZALIA,KOBIETA,248
POLA,KOBIETA,242
STANISŁAWA,KOBIETA,240
BOŻENA,KOBIETA,231
DARIA,KOBIETA,229
IGA,KOBIETA,228
NIKOLA,KOBIETA,220
RENATA,KOBIETA,219
SARA,KOBIETA,208
MILENA,KOBIETA,207
BLANKA,KOBIETA,190
OLGA,KOBIETA,188
ANETA,KOBIETA,188
MATYLDA,KOBIETA,179
LUCYNA,KOBIETA,160
AURELIA,KOBIETA,160
MARZENA,KOBIETA,157
NINA,KOBIETA,155
EDYTA,KOBIETA,154
ANGELIKA,KOBIETA,152
SABINA,KOBIETA,147
SANDRA,KOBIETA,143
MIA,KOBIETA,140
ELIZA,KOBIETA,140
CECYLIA,KOBIETA,137
JÓZEFA,KOBIETA,137
ADRIANNA,KOBIETA,133
ALINA,KOBIETA,128
KAJA,KOBIETA,124
BOGUMIŁA,KOBIETA,121
LILIANNA,KOBIETA,113
ROKSANA,KOBIETA,98
WIOLETTA,KOBIETA,97
WIESŁAWA,KOBIETA,97
FRANCISZKA,KOBIETA,96
MARIOLA,KOBIETA,94
DAGMARA,KOBIETA,93
MARLENA,KOBIETA,91
DIANA,KOBIETA,88
ANITA,KOBIETA,83
JÓZEFINA,KOBIETA,82
KONSTANCJA,KOBIETA,82
MELANIA,KOBIETA,81
REGINA,KOBIETA,77
KARINA,KOBIETA,75
NELA,KOBIETA,73
