IMIĘ_DRUGIE,LICZBA_WYSTĄPIEŃ
JAN,839548
PIOTR,670388
STANISŁAW,629492
JÓZEF,568208
ANDRZEJ,486883
PAWEŁ,448089
KRZYSZTOF,348767
ADAM,323936
KAZIMIERZ,274578
MAREK,273378
TOMASZ,270606
MICHAŁ,264689
JERZY,255306
MARIAN,237784
ANTONI,229085
FRANCISZEK,226567
TADEUSZ,225305
WOJCIECH,225066
GRZEGORZ,214429
MARCIN,198734
ŁUKASZ,174222
HENRYK,166215
ZBIGNIEW,166092
WŁADYSŁAW,162732
RYSZARD,161834
JAKUB,141266
ROBERT,138151
JACEK,136739
JANUSZ,131806
KAROL,121721
MATEUSZ,119571
MACIEJ,118832
ROMAN,115747
STEFAN,111902
MARIUSZ,103108
ALEKSANDER,101402
RAFAŁ,99475
EDWARD,98042
MIECZYSŁAW,96954
DARIUSZ,94563
SEBASTIAN,85501
MIROSŁAW,79825
CZESŁAW,78814
WIESŁAW,76871
ZDZISŁAW,76063
ZYGMUNT,73341
ARTUR,72120
KAMIL,68186
SŁAWOMIR,67402
MIKOŁAJ,65656
LESZEK,64479
BOGDAN,64297
SZYMON,63113
DANIEL,62843
DAWID,62448
JAROSŁAW,61947
EUGENIUSZ,60855
WALDEMAR,59237
DOMINIK,59163
WIKTOR,57742
DAMIAN,51992
SYLWESTER,51736
PATRYK,51691
KONRAD,47424
PRZEMYSŁAW,46600
BRONISŁAW,45206
BOLESŁAW,44538
BOGUSŁAW,44359
WACŁAW,42927
SZCZEPAN,41365
ARKADIUSZ,40882
WŁODZIMIERZ,39677
LEON,38751
KACPER,38472
WITOLD,38163
BARTŁOMIEJ,36508
IGNACY,35628
LUDWIK,34529
ZENON,34123
KRYSTIAN,33491
IRENEUSZ,32807
MAKSYMILIAN,32168
FILIP,32087
ADRIAN,32017
JULIAN,31508
FELIKS,29824
BARTOSZ,27521
BERNARD,26590
HUBERT,25251
EDMUND,23575
WINCENTY,23109
ALOJZY,23004
RADOSŁAW,22521
GABRIEL,20974
LUCJAN,19934
CEZARY,19179
LECH,18719
WALENTY,17772
NORBERT,17093
EMIL,14749
BOGUMIŁ,14352
TEODOR,13856
OSKAR,12804
BŁAŻEJ,12485
AUGUSTYN,12378
MARIA,11848
ROMUALD,11817
SEWERYN,11651
ALFRED,11620
BENEDYKT,11488
FLORIAN,10607
GERARD,10387
JOACHIM,10360
KONSTANTY,10170
IGOR,9803
LEONARD,9474
ERYK,9125
MIŁOSZ,8983
JULIUSZ,8900
WAWRZYNIEC,8646
ALBERT,8536
TEOFIL,7741
NIKODEM,7147
MARCEL,6708
WILHELM,6566
RUDOLF,6481
REMIGIUSZ,6427
OLIWIER,6426
ERNEST,6356
LESŁAW,6156
KSAWERY,6109
HIERONIM,6104
ADOLF,6065
KLEMENS,5956
LEOPOLD,5922
ALFONS,5874
KAJETAN,5744
RAJMUND,5619
BRUNON,5569
IZYDOR,5386
ALAN,5277
FABIAN,5074
EMANUEL,5066
MARCELI,4733
GUSTAW,4681
ALBIN,4681
FRYDERYK,4634
ROCH,4623
WALERIAN,4551
TYMOTEUSZ,4319
CYPRIAN,4032
KLAUDIUSZ,3707
ZYGFRYD,3625
OLAF,3428
BOHDAN,3278
GRACJAN,3276
ALEXANDER,3204
ALEKSY,2924
AUGUST,2896
BORYS,2593
WALTER,2571
MICHAEL,2544
FERDYNAND,2529
ERWIN,2529
TOBIASZ,2500
BENIAMIN,2465
JĘDRZEJ,2361
BRUNO,2344
KORNEL,2325
BONIFACY,2289
OLGIERD,2265
DAVID,2254
SERGIUSZ,2234
ŁUCJAN,2169
SAMUEL,2168
HERBERT,2120
LONGIN,2070
NATAN,2054
AMADEUSZ,2025
PAUL,2011
JACENTY,2003
JOHN,1976
MAURYCY,1973
EMILIAN,1887
PETER,1854
KUBA,1843
ROLAND,1814
MARTIN,1798
DIONIZY,1701
IWO,1615
EDWIN,1602
JOSEPH,1555
GINTER,1542
ARNOLD,1532
JAMES,1531
WIT,1510
MIESZKO,1496
IDZI,1487
THOMAS,1487
TYTUS,1475
ARIEL,1473
TYMON,1465
ZIEMOWIT,1441
WERNER,1418
HERMAN,1396
ELIGIUSZ,1373
EUZEBIUSZ,1367
BOŻYDAR,1343
KASPER,1343
HIPOLIT,1337
JEREMI,1318
HELMUT,1234
DORIAN,1206
APOLINARY,1166
JOSEF,1159
PATRICK,1132
HERONIM,1111
CYRYL,1110
OLIVIER,1076
DENIS,1061
OKTAWIAN,1055
KORDIAN,1030
RICHARD,1029
BAZYLI,1014
ALEX,1010
ANTHONY,1009
ALEKS,997
LECHOSŁAW,995
AMBROŻY,992
WILLIAM,992
OLIVER,983
NATANIEL,983
ANATOL,982
KRYSPIN,955
NARCYZ,952
CHRISTOPHER,944
URBAN,936
ANDREW,936
EWALD,932
MAKSYM,924
HILARY,923
KORNELIUSZ,913
GERHARD,901
KUMAR,893
FELICJAN,885
MELCHIOR,883
KOSMA,866
KOSTKA,862
ELIASZ,859
HORST,851
SZCZĘSNY,833
AURELIUSZ,833
MANFRED,813
OTTO,801
PATRYCJUSZ,791
CHRISTIAN,790
MIRON,786
ANTONIO,757
JUSTYN,756
ANDREAS,756
SINGH,744
BALTAZAR,743
DONAT,723
OLIWER,718
MARK,717
JEREMIASZ,715
DIETER,713
LUDOMIR,712
MAKS,712
BENON,707
APOLONIUSZ,701
WAWRZYN,695
MANUEL,694
HEINZ,680
KURT,657
LUBOMIR,656
HUGO,653
WALERY,648
JONATAN,645
JONASZ,640
ANASTAZY,635
ROGER,634
ZBYSŁAW,632
ZBYSZEK,629
MAXIMILIAN,627
VICTOR,623
KEVIN,621
RAFAEL,618
BRAJAN,611
BENJAMIN,600
JAROMIR,586
JACOB,583
ZACHARIASZ,581
JOHANNES,577
WOLFGANG,574
GEORGE,568
NICOLAS,567
JANUARY,567
RUFIN,566
HENRY,556
MAX,549
ARON,546
ALI,542
GEORG,535
MILAN,531
EWARYST,527
KEWIN,525
ZBYSZKO,519
BOGUSZ,516
CELESTYN,514
CHARLES,495
DAMAZY,487
GWIDON,486
MIGUEL,485
LEO,485
ZENOBIUSZ,478
VINCENT,478
SERAFIN,473
KLAUS,465
MATTHEW,455
MAKARY,454
ENGELBERT,448
JOHANN,445
DYONIZY,444
OTTON,443
JORDAN,439
KARL,434
MARIO,433
EDGAR,431
OSWALD,430
BONAWENTURA,427
KRYSTYN,427
OSCAR,426
FRANZ,422
SATURNIN,422
RADOMIR,420
BARNABA,416
JOZEF,415
JOSE,414
STANISLAW,412
LUKAS,412
MEDARD,409
NAPOLEON,404
NICHOLAS,401
KANTY,400
SOBIESŁAW,397
EUSTACHY,395
TELESFOR,394
ARTHUR,394
JAVIER,393
LEW,391
JEAN,391
ALBERTO,383
PHILIP,383
FRANCIS,382
WINICJUSZ,382
WILLI,379
MODEST,370
CARLOS,366
DYMITR,365
SIMON,364
PIERRE,359
JUREK,358
LUIS,354
WIEŃCZYSŁAW,353
HANS,353
ANTON,352
DOBROSŁAW,351
REINHOLD,348
GABRYEL,348
MICHEL,347
ERAZM,345
RAJNOLD,343
ALEJANDRO,342
JAREMA,340
POLIKARP,340
CHRYSTIAN,335
PAWEL,333
SYLWERIUSZ,330
MARKUS,328
JONATHAN,328
DOBROMIR,326
LUCAS,326
WITALIS,323
CEZAR,323
JURAND,322
NIKOLAS,320
FRANK,320
AHMED,316
EDUARDO,305
BAHADUR,305
XAVIER,296
STANLEY,293
ONUFRY,291
HEINRICH,288
HUGON,286
MOHAMED,283
ERIC,283
JÜRGEN,282
MICHAL,282
ERICH,281
TYCJAN,280
ALEXANDRE,279
DOBIESŁAW,279
VIKTOR,279
LOUIS,277
AARON,273
NATHAN,271
RONALD,271
FAUSTYN,269
BRIAN,269
CHRISTOPH,268
LEE,261
GOTFRYD,261
PASCAL,257
ERIK,256
GÜNTER,255
JÓZEFAT,247
KASJAN,246
ANGELO,243
IAN,242
FELIX,242
PIUS,240
OKTAWIUSZ,240
KSAWIER,237
SERWACY,236
MARCO,235
ANDRÉ,235
CEZARIUSZ,234
ANDRE,234
ANDRES,233
GERWAZY,231
EUSTACHIUSZ,230
LUCJUSZ,230
ENRIQUE,230
DITER,225
EMMANUEL,224
OREST,221
SYMEON,221
GNIEWOMIR,220
ŁADYSŁAW,219
ANZELM,218
GNIEWKO,216
CAN,216
JOSÉ,214
JUNIOR,213
KRZESIMIR,213
STEPHEN,213
RENE,211
PABLO,208
ERNST,205
GREGORY,203
HARRY,202
TYBERIUSZ,202
FERNANDO,201
JAKOB,199
SŁAWEK,198
HELIODOR,198
RICARDO,197
IBRAHIM,196
PAULIN,196
JOSHUA,194
NORMAN,193
GREGOR,193
MARC,191
JACK,191
FRANCISCO,191
ROBERTO,190
PRASAD,190
DEZYDERIUSZ,189
EGON,189
JORGE,189
DOMINIC,188
HERMANN,188
ANGEL,186
OLEG,185
OTON,184
SAMBOR,184
PIO,184
SYLWIUSZ,180
SŁAWOJ,180
EKSPEDYT,179
STEVEN,178
HARALD,177
RYAN,177
JOEL,176
PANKRACY,175
SCOTT,172
BERNHARD,171
ARMIN,171
METODY,171
LEONARDO,171
MARIE,170
FILIPE,169
ARMAND,169
LUKASZ,169
BERNARDYN,168
AXEL,167
TRISTAN,166
FRANCESCO,165
NOAH,164
WIRGILIUSZ,163
LUDWIG,163
PHILIPPE,163
WITOSŁAW,162
MARCUS,160
OMAR,158
DIEGO,158
KONSTANTYN,157
JUSTIN,156
MIŁOSŁAW,155
IVAN,154
GILBERT,153
HENRI,152
MŚCISŁAW,152
GAWEŁ,152
MOSHE,152
ALLAN,150
KALIKST,150
PEDRO,149
FRIEDRICH,148
JACQUES,148
JASON,146
RADZISŁAW,145
MAGNUS,143
XAWERY,143
ELIAS,143
MARCJAN,143
NOEL,142
ABRAHAM,141
JOHAN,139
DENNIS,139
EZEQUIEL,137
MAXYMILIAN,137
KARIM,137
IVO,135
DONALD,135
NOE,135
SEAN,135
NESTOR,134
IZAAK,132
RAYMOND,132
IGNACIO,132
RUBEN,132
GIOVANNI,131
GEORGES,131
MARIUS,131
PRZYBYSŁAW,131
MOHAMMED,131
CONRAD,130
ERHARD,130
LUCA,130
CLAUDE,128
PHILIPP,128
KLEOFAS,127
GIUSEPPE,127
ANDRÉS,126
IWAN,126
LIAM,125
AUGUSTO,125
ANTOINE,124
ZAWISZA,124
BARTEK,123
