IMIĘ_DRUGIE,LICZBA_WYSTĄPIEŃ
MARIA,1715508
ANNA,964991
BARBARA,457921
TERESA,447232
KATARZYNA,439498
EWA,399014
ELŻBIETA,355808
MAŁGORZATA,350769
ZOFIA,335445
MAGDALENA,313602
AGNIESZKA,293345
KRYSTYNA,268457
JADWIGA,256743
JANINA,227007
JOANNA,210421
HELENA,209136
STANISŁAWA,178860
MONIKA,167703
MARTA,152677
IRENA,152341
DANUTA,152119
DOROTA,139447
MARIANNA,128985
JOLANTA,126272
WERONIKA,124456
BEATA,122257
JÓZEFA,122214
KAZIMIERA,121640
ALEKSANDRA,120156
URSZULA,115751
KAROLINA,114760
HALINA,110833
WIKTORIA,106587
GRAŻYNA,106276
ALICJA,89969
JULIA,89338
BOŻENA,87909
IWONA,85819
WANDA,84995
AGATA,84251
IZABELA,81779
NATALIA,79452
JUSTYNA,75335
SYLWIA,73747
PAULINA,71748
STEFANIA,64304
ŁUCJA,61924
PATRYCJA,61395
RENATA,60943
KINGA,58251
ANTONINA,57430
WŁADYSŁAWA,55171
EMILIA,53281
WIESŁAWA,50107
DOMINIKA,47725
FRANCISZKA,47625
ANIELA,47435
ZUZANNA,45153
GABRIELA,44941
LUCYNA,44326
GENOWEFA,42791
MARZENA,42681
BRONISŁAWA,40663
EDYTA,39902
BOGUMIŁA,37724
LIDIA,37188
HANNA,36798
CECYLIA,36106
EWELINA,35954
HENRYKA,35306
KLAUDIA,33692
ANETA,32876
SABINA,32758
MARIOLA,32656
CZESŁAWA,32266
REGINA,32113
KAMILA,30841
MIROSŁAWA,30225
ALINA,28334
ROZALIA,27965
MICHALINA,27702
OLIWIA,27003
BOGUSŁAWA,26352
GERTRUDA,24621
DARIA,24261
RÓŻA,23375
LEOKADIA,22791
WIOLETTA,21516
ANGELIKA,20322
MAJA,20275
MARTYNA,19534
ZDZISŁAWA,18924
EUGENIA,17887
BERNADETA,17783
KLARA,17351
OLGA,17119
MIECZYSŁAWA,17106
ANASTAZJA,16833
AMELIA,15870
LUDWIKA,14284
LAURA,14053
ILONA,13129
ANITA,12454
HONORATA,12144
SANDRA,12008
DANIELA,11557
WIOLETA,11531
APOLONIA,11308
WACŁAWA,10735
BRYGIDA,10598
LENA,10594
DAGMARA,10513
CELINA,10357
JULIANNA,10338
MARLENA,10217
ELIZA,9777
NIKOLA,9379
WALERIA,9357
KORNELIA,9053
ELEONORA,8959
JAGODA,8761
KARINA,8685
SARA,8621
MILENA,8315
FAUSTYNA,8051
PELAGIA,8031
MATYLDA,7840
FELICJA,7526
ALDONA,7472
IZABELLA,7337
LUIZA,7294
ROMANA,7231
ROKSANA,7218
MAGDA,7041
ADRIANNA,7008
MARCELINA,6833
ŻANETA,6561
ADELA,6442
MALWINA,6281
FELIKSA,6063
ALFREDA,5959
NINA,5913
AURELIA,5799
DIANA,5767
BOŻENNA,5752
JULITA,5702
LILIANA,5571
PAULA,5461
NADIA,5371
RITA,5279
WALENTYNA,5262
VIOLETTA,5020
KONSTANCJA,5002
ELWIRA,4940
OTYLIA,4686
ADRIANA,4674
BERNADETTA,4592
ZENONA,4275
TEODORA,4250
IGA,4160
ALBINA,4100
ANDŻELIKA,4070
HILDEGARDA,3803
RYSZARDA,3755
JUDYTA,3753
ROMUALDA,3703
SALOMEA,3547
BOLESŁAWA,3522
TEKLA,3518
LILIANNA,3432
BLANKA,3334
JÓZEFINA,3320
ESTERA,3281
MARZANNA,3228
ZENOBIA,3211
BERNARDA,3184
LUDMIŁA,3163
TEODOZJA,3151
SONIA,3044
TEOFILA,3009
FLORENTYNA,2993
MELANIA,2970
JOWITA,2967
KAJA,2836
VICTORIA,2828
TAMARA,2817
BALBINA,2814
ERYKA,2798
KUNEGUNDA,2775
OLIMPIA,2714
POLA,2662
ADELAJDA,2656
SŁAWOMIRA,2616
ZYTA,2558
LEONARDA,2506
ARLETA,2468
IRMINA,2437
MARIKA,2361
TATIANA,2295
NATASZA,2291
DONATA,2287
EDWARDA,2266
KALINA,2212
LONGINA,2209
GIZELA,2190
MARIE,2172
KLEMENTYNA,2137
INGA,2103
MARCELA,2029
AMANDA,1959
ELFRYDA,1930
LUCJA,1841
MARYLA,1743
PETRONELA,1738
EMMA,1718
BERTA,1716
MARCJANNA,1714
MARZENNA,1682
SEWERYNA,1607
IDA,1602
ELIZABETH,1594
NICOLE,1510
OLIVIA,1473
BOGNA,1465
ADA,1461
OKTAWIA,1428
AUGUSTYNA,1411
KRZYSZTOFA,1398
JESSICA,1381
LILIA,1362
VANESSA,1353
KAMILLA,1330
LILLA,1320
FILOMENA,1309
AMALIA,1294
ALEXANDRA,1271
NICOLA,1215
LILA,1155
ANETTA,1148
ROMA,1135
LIWIA,1133
BENEDYKTA,1110
SAMANTA,1084
ERNA,1061
MIRELA,1027
KSENIA,1017
BERNARDYNA,988
SOPHIE,975
IZA,966
ELENA,961
EULALIA,957
NADZIEJA,947
BIANKA,931
RUTA,918
LEONTYNA,909
MIA,907
ANGELINA,899
DOMICELA,898
SOFIA,874
EVA,868
DOBROSŁAWA,835
EMA,822
ROSE,819
WINCENTYNA,814
CELESTYNA,813
STELLA,808
VIKTORIA,806
GABRYELA,800
INEZ,792
MANUELA,789
PAMELA,782
MIRIAM,765
ANN,762
ANGELA,753
NOEMI,751
WIRGINIA,747
GERDA,747
PRAKSEDA,743
AUGUSTA,737
NELA,737
ELISABETH,718
LIGIA,714
EMANUELA,710
GRETA,706
WALESKA,705
JAROSŁAWA,690
BLANDYNA,673
SŁAWA,671
SYLWESTRA,668
KSAWERA,662
LEONIA,656
MICHELLE,641
BERENIKA,639
WANESSA,636
EUFEMIA,628
LEA,626
ANDREA,616
HELGA,612
WILHELMINA,602
SOPHIA,590
OLA,581
GLORIA,572
ANNE,564
INES,564
MIRELLA,556
KORNELA,549
ERIKA,549
ANTONIA,549
NARCYZA,545
MALINA,536
IRMA,524
BERNARDETA,515
SCHOLASTYKA,503
BOGDANA,495
LARYSA,494
KLAUDYNA,494
GAJA,490
ISABELLA,459
ERNESTYNA,458
EDELTRAUDA,458
CLAUDIA,455
GRACE,455
VERONICA,454
GRACJANA,449
IRMGARDA,448
PATRICIA,446
KONSTANTYNA,443
MARY,441
HIACYNTA,439
HANKA,437
MIRA,437
LOUISE,434
MAYA,433
LIZA,433
SARAH,432
JANE,430
ADAMINA,429
LINDA,425
MARIETTA,425
JAŚMINA,415
ELZA,415
GRACJA,414
KAROLA,410
SZARLOTA,409
FRYDERYKA,406
RAMONA,399
MERCEDES,393
WANESA,392
LUBOMIRA,388
ALOJZA,387
MARGARET,384
BENIGNA,383
RUTH,382
IWONNA,382
AGNES,378
SERAFINA,374
MARGARETA,372
LUDWINA,371
LEONA,371
HERMINA,369
CHRISTINA,367
ŻAKLINA,367
DELFINA,364
CHRISTINE,363
CARMEN,363
ISABEL,352
EMILY,351
IZYDORA,348
LUDOMIRA,347
ARLETTA,346
MODESTA,344
SYBILLA,343
MARGOT,340
CHARLOTTE,340
WINCENTA,336
JOHANNA,335
ALBERTYNA,334
NEL,332
INGRID,332
CRISTINA,332
SABRINA,324
ALA,320
DOBRAWA,318
RADOSŁAWA,317
ROBERTA,315
NATALIE,315
OKSANA,314
CAROLINE,313
FATIMA,307
VERONIKA,307
DAJANA,306
CYRYLA,303
FILIPINA,302
JAGNA,301
OTOLIA,299
ALICE,299
CATHERINE,297
ELA,295
LESŁAWA,295
KATHARINA,295
LEONORA,289
ZBIGNIEWA,284
EMILA,281
DŻESIKA,278
IDALIA,278
MARTHA,275
JOLENTA,272
LUKRECJA,272
CAROLINA,272
JENNIFER,271
ABIGAIL,271
DOBROCHNA,271
AURORA,270
EDMUNDA,269
BIBIANNA,266
IRENE,262
ROSA,262
KASANDRA,260
HIERONIMA,259
ELLA,258
KARIN,256
LUCIA,255
INGEBORGA,251
MARTINA,250
ALICIA,250
MICHAELA,250
BENITA,249
RYTA,249
DOBROMIŁA,248
NIKOL,248
DALIA,246
NICOL,243
JULITTA,242
MONICA,241
SIMONA,239
DOLORES,236
RUT,233
MIŁOSŁAWA,232
BOGDA,231
LARA,230
MARITA,229
HELEN,227
WŁODZIMIERA,226
WALBURGA,226
KRISTINA,223
HALSZKA,222
EUZEBIA,220
ADOLFINA,220
IZOLDA,219
HERTA,218
EUNIKA,218
MAJKA,218
EUFROZYNA,216
ALOJZJA,216
KORDULA,213
LUISA,211
ANASTASIA,211
MIRANDA,208
KONRADA,208
VIOLETA,206
LILY,205
JOSEPHINE,203
ELZBIETA,202
SATURNINA,202
ISABELLE,201
FRIEDA,200
AURELA,200
GUSTAWA,200
MARIA TERESA,198
FRANCESCA,196
ANIKA,196
NAOMI,195
RAFAELA,195
KLOTYLDA,195
LYNN,193
LEOPOLDA,193
ZOJA,193
ANICETA,192
REBEKA,190
ŻANETTA,190
MARGARITA,186
WIERA,186
ALMA,185
LISA,185
DAGNA,185
LORA,184
ADOLFA,183
KSYMENA,182
DIONIZA,182
FRYDA,181
KRYSPINA,180
RACHELA,179
RACHEL,178
DEBORA,177
ARIADNA,175
KATHERINE,174
ZOE,174
IRMGARD,173
JULIANA,172
HILDA,172
ANA,172
KAUR,172
LAURENCJA,172
LUCJANNA,171
HEDWIG,171
STEPHANIE,170
BEATRIZ,170
MARINA,169
ALEJANDRA,169
FELICYTA,166
LEE,163
GABRIELLA,162
DORIS,162
JASMIN,162
ANIDA,162
PAOLA,161
CLAIRE,161
URSULA,160
PRZEMYSŁAWA,159
SYLVIA,158
PIA,158
LUDOMIŁA,158
DĄBRÓWKA,158
JANA,156
GERARDA,156
JOY,156
JASMINA,155
WERA,155
ZYGFRYDA,153
IWONKA,152
HELENE,152
AIDA,152
JACQUELINE,150
HERONIMA,147
LUCJANA,146
LIVIA,146
EDITH,146
KRYSTIANA,145
SYLWINA,145
HILDEGARD,145
KARMEN,145
BEATRYCZE,144
ANH,144
LETYCJA,143
MARIETA,143
DORA,141
THERESA,141
MARGARETE,140
ELISA,139
INKA,138
HANNAH,138
ILZA,137
KATE,137
ANGELICA,136
CLARA,136
ASTRID,135
DENISE,134
ROXANA,134
SELENA,134
FLORIANNA,133
MELISA,133
FRANCES,132
ARKADIA,132
KAREN,132
ANNA MARIA,131
MALGORZATA,130
CECILIA,130
LEOPOLDYNA,129
AFRODYTA,129
MAY,129
NUR,128
FRIDA,128
ROZWITA,128
ARIANA,128
MILA,127
NIKOLETTA,127
ESTHER,127
BIANCA,127
ANDŻELINA,127
MARIA MAGDALENA,127
ANDRZELIKA,127
JESICA,126
ŚWIĘTOSŁAWA,126
JEAN,126
FLORA,126
KLEOPATRA,126
GERTRUD,125
VALENTINA,125
KAMILIA,123
SOFIE,123
JESIKA,122
DAMIANA,122
INGRIDA,122
ORIANA,121
STELA,119
LUBA,119
THERESE,119
LUDGARDA,119
NELLY,119
FABIOLA,118
JOLA,118
LUCY,116
SAMANTHA,115
ERWINA,114
ZYGMUNTA,113
MARGOTA,113
JUDITH,113
HANA,112
WALTRAUD,112
NATHALIE,112
TOLA,110
WALTRAUDA,110
LUISE,110
LUNA,110
WIEŃCZYSŁAWA,109
ESTER,109
RAJMUNDA,109
WISŁAWA,108
IWETTA,107
KIRA,107
ISMENA,107
ADELINA,106
OLENA,105
FLORIANA,105
PAULINE,105
LILLY,104
ELLEN,104
WITOLDA,103
LUBOMIŁA,102
MAKSYMILIANA,102
AMY,102
ATENA,101
CHARLOTTA,101
RENA,101
EVE,101
BIRUTA,100
TADEUSZA,100
ZEFIRYNA,100
VIRGINIA,100
JULIE,99
ALBERTA,99
ŻAKLIN,99
SILVIA,99
BELLA,99
MAE,98
REBECCA,98
JESSIKA,98
SIMONE,98
YVONNE,98
PETRA,98
RAISA,97
MELANIE,97
LINH,96
LILI,96
RAQUEL,96
SUSAN,96
WITA,95
NASTAZJA,95
SZCZĘSNA,95
MELISSA,95
AMBER,94
ELENI,94
MIRONA,93
INGEBORG,92
TINA,91
BRIGITTE,91
HENRIETA,90
CHANTAL,90
BETINA,89
DYONIZA,89
PALOMA,89
NELLA,88
CHIARA,88
HERMENEGILDA,88
LEILA,88
EMILIE,88
JASMINE,88
BERNADYNA,88
CHLOE,88
LINA,87
ANIA,86
ELFRIEDA,86
KLARYSA,86
FRANZISKA,86
ELIGIA,86
SUSANA,86
NELL,85
LOTTA,85
TOMIRA,85
TELIMENA,85
IWA,84
CORNELIA,84
IRIS,84
RENEE,84
IWETA,84
IGNACJA,83
LORENA,83
INA,83
ZELMA,83
DOROTHEA,83
CARLA,83
SUZANNE,83
LAILA,82
ELFRIEDE,82
BERNADETTE,82
MAURA,82
MAŁGORZTA,82
JUTTA,82
ELISE,82
FERNANDA,81
VIVIEN,81
ASHLEY,80
MARION,80
DOROTHY,80
KAMA,80
YAEL,80
GABRIELLE,80
AGRYPINA,79
BRIGIDA,79
NIKOLETA,79
SAMIRA,79
KATARINA,79
HORTENSJA,78
SYLWANA,78
INEZA,78
KATRIN,78
DINA,78
HIACENTA,78
EDWINA,77
GEORGINA,77
KASIA,76
MAI,76
KATHLEEN,76
MARIAM,75
CHELSEA,75
ALODIA,75
NADINE,75
WITOSŁAWA,75
LORETTA,75
MEGAN,74
JUTA,74
VALERIA,74
CHRISTA,74
ARLENA,74
DANIELLE,74
BERNARDETTA,74
RENATE,74
SOL,73
KOLETA,73
SUSANNE,73
MARYNA,72
FERDYNANDA,72
EVELYN,72
JEANNE,71
FORTUNATA,71
SELMA,71
LAN,71
BIBIANA,71
HENRIETTA,70
GRACIELA,70
MARGERITA,70
NATASHA,70
HILARIA,70
ALEKSA,70
META,70
MARIANNE,70
SZARLOTTA,70
KAMELIA,69
STANISLAWA,69
INGRYDA,69
LYDIA,68
VIVIANA,68
MARIANA,68
ANDŻELA,68
ANZELMA,68
KWIRYNA,68
JULIETTA,68
BEATRICE,67
WALTRAUT,67
ZOSIA,67
CYNTIA,67
VANESA,67
FLAWIA,67
KIM,66
STEFANIE,66
GRAZYNA,66
MARIIA,66
KESJA,65
MAGDALENE,65
AVA,65
MILADA,65
SCARLETT,64
MADELEINE,64
ANATOLIA,64
THERESIA,64
BEATE,64
FIONA,64
KIARA,64
ROZANNA,63
BRUNHILDA,63
JADWIGA KAZIMIERA,63
ANNAMARIA,63
SABA,63
DIANE,63
ELIANA,63
DAMARIS,62
NORA,62
HANNELORE,61
NORBERTA,61
CAMILLA,61
ROZA,61
XYMENA,61
NIKOLINA,61
ALWINA,61
LEAH,60
JAGIENKA,60
LAYLA,60
CAMILLE,60
FREDA,60
DOMINIQUE,60
ANDRZEJA,60
LOUISA,60
SUSANNA,60
ARIANNA,60
GISELA,59
DOBROMIRA,59
MARIA ANTONINA,58
JOANNE,58
FABIANA,57
KASJANA,57
JADE,57
CHIOMA,57
JANINA KAZIMIERA,57
HOPE,57
AMIRA,56
VIVIENNE,56
PLACYDA,56
LUCIE,56
KAYA,56
OFELIA,56
IZAURA,56
GIZELLA,55
VITTORIA,55
AISHA,55
MARÍA,55
MARCELLA,55
ROMINA,55
JANET,55
ELSA,55
KATHRIN,55
FLORENCE,55
LILLI,55
DAGNY,55
ISABELL,55
AGATHA,55
ILSE,55
EMILIANA,55
LEIGH,54
ELIF,54
-,54
MAIA,54
ALI,54
JULIETTE,54
KATIA,54
ELIZABET,53
ELLI,53
INGE,53
WALERIANA,53
RAE,53
TAIDA,53
ESMERALDA,53
ŻANNA,53
ANJA,53
KORA,53
ALESSANDRA,53
SALWINA,53
WALDEMARA,53
MARIA ANNA,53
CEZARIA,52
AMINA,52
NAWOJKA,52
ELSE,52
LOTTE,52
SALOMEJA,52
INÉS,52
EURYDYKA,52
DEBORAH,52
JOAN,52
DEVI,52
SYBILA,52
GEORGIA,52
TRANG,51
SAWA,51
ADELAIDA,51
AMELIE,51
SOLEDAD,51
BLANCA,51
ANNEMARIE,51
MONIQUE,51
LOLA,51
SOFIJA,51
IRINA,51
BONIFACJA,50
MINNA,50
MARYSIA,50
MARIJA,50
ANNETTE,50
MICHELE,50
GIULIA,50
FLORENCIA,50
JEANETTE,50
