IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,1066985
STANISŁAW,MĘŻCZYZNA,935195
PIOTR,MĘŻCZYZNA,807374
ANDRZEJ,MĘŻCZYZNA,743295
KRZYSZTOF,MĘŻCZYZNA,730968
JÓZEF,MĘŻCZYZNA,687823
TOMASZ,MĘŻCZYZNA,577975
PAWEŁ,MĘŻCZYZNA,570756
MICHAŁ,MĘŻCZYZNA,554342
ADAM,MĘŻCZYZNA,481972
TADEUSZ,MĘŻCZYZNA,477391
MARCIN,MĘŻCZYZNA,474163
MAREK,MĘŻCZYZNA,455351
JERZY,MĘŻCZYZNA,449514
GRZEGORZ,MĘŻCZYZNA,424637
JAKUB,MĘŻCZYZNA,413595
HENRYK,MĘŻCZYZNA,399039
ZBIGNIEW,MĘŻCZYZNA,397285
ŁUKASZ,MĘŻCZYZNA,396089
KAZIMIERZ,MĘŻCZYZNA,383532
MATEUSZ,MĘŻCZYZNA,380055
WOJCIECH,MĘŻCZYZNA,378914
RYSZARD,MĘŻCZYZNA,365786
MARIAN,MĘŻCZYZNA,338470
DARIUSZ,MĘŻCZYZNA,318534
WŁADYSŁAW,MĘŻCZYZNA,314660
MARIUSZ,MĘŻCZYZNA,311008
ROBERT,MĘŻCZYZNA,284588
FRANCISZEK,MĘŻCZYZNA,281496
MACIEJ,MĘŻCZYZNA,279937
ANTONI,MĘŻCZYZNA,279182
RAFAŁ,MĘŻCZYZNA,274963
JACEK,MĘŻCZYZNA,264581
JANUSZ,MĘŻCZYZNA,260443
KAMIL,MĘŻCZYZNA,254283
ROMAN,MĘŻCZYZNA,242240
DAWID,MĘŻCZYZNA,236856
MIROSŁAW,MĘŻCZYZNA,235767
SZYMON,MĘŻCZYZNA,228353
EDWARD,MĘŻCZYZNA,225320
MIECZYSŁAW,MĘŻCZYZNA,222593
SŁAWOMIR,MĘŻCZYZNA,215740
KACPER,MĘŻCZYZNA,215531
JAROSŁAW,MĘŻCZYZNA,214705
WIESŁAW,MĘŻCZYZNA,213875
CZESŁAW,MĘŻCZYZNA,209172
ZDZISŁAW,MĘŻCZYZNA,203410
BARTOSZ,MĘŻCZYZNA,201365
STEFAN,MĘŻCZYZNA,200968
ARTUR,MĘŻCZYZNA,199763
