IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1319473
MARIA,KOBIETA,994029
ZOFIA,KOBIETA,697624
KATARZYNA,KOBIETA,679981
MAŁGORZATA,KOBIETA,624200
KRYSTYNA,KOBIETA,605147
AGNIESZKA,KOBIETA,595188
BARBARA,KOBIETA,594302
JANINA,KOBIETA,579032
EWA,KOBIETA,536040
ELŻBIETA,KOBIETA,518782
HELENA,KOBIETA,490981
TERESA,KOBIETA,473170
JADWIGA,KOBIETA,452871
MAGDALENA,KOBIETA,451516
JOANNA,KOBIETA,443112
MARIANNA,KOBIETA,442230
ALEKSANDRA,KOBIETA,422407
IRENA,KOBIETA,401349
MONIKA,KOBIETA,397688
DANUTA,KOBIETA,387123
STANISŁAWA,KOBIETA,359793
HALINA,KOBIETA,358352
MARTA,KOBIETA,333769
NATALIA,KOBIETA,318215
KAROLINA,KOBIETA,311557
JULIA,KOBIETA,309090
BEATA,KOBIETA,290561
DOROTA,KOBIETA,285383
ALICJA,KOBIETA,273295
GRAŻYNA,KOBIETA,262444
JOLANTA,KOBIETA,260937
IWONA,KOBIETA,243295
PAULINA,KOBIETA,236088
WIKTORIA,KOBIETA,234474
BOŻENA,KOBIETA,227661
URSZULA,KOBIETA,225936
JUSTYNA,KOBIETA,222280
ZUZANNA,KOBIETA,211358
RENATA,KOBIETA,201870
HANNA,KOBIETA,190802
WANDA,KOBIETA,189364
AGATA,KOBIETA,189260
EMILIA,KOBIETA,187167
SYLWIA,KOBIETA,186926
WERONIKA,KOBIETA,186237
JÓZEFA,KOBIETA,185375
STEFANIA,KOBIETA,182684
GENOWEFA,KOBIETA,175509
PATRYCJA,KOBIETA,170103
IZABELA,KOBIETA,167288
MAJA,KOBIETA,157649
WŁADYSŁAWA,KOBIETA,155636
ANETA,KOBIETA,154445
KAZIMIERA,KOBIETA,152326
EWELINA,KOBIETA,150904
OLIWIA,KOBIETA,142337
MARTYNA,KOBIETA,139856
KLAUDIA,KOBIETA,139432
WIESŁAWA,KOBIETA,137872
GABRIELA,KOBIETA,136398
MARZENA,KOBIETA,133644
DOMINIKA,KOBIETA,123447
KINGA,KOBIETA,119809
EDYTA,KOBIETA,118867
ANIELA,KOBIETA,116687
AMELIA,KOBIETA,112921
KAMILA,KOBIETA,112331
LENA,KOBIETA,112204
BRONISŁAWA,KOBIETA,110671
LUCYNA,KOBIETA,108976
ALINA,KOBIETA,105403
ANTONINA,KOBIETA,101779
LIDIA,KOBIETA,98230
CZESŁAWA,KOBIETA,97723
REGINA,KOBIETA,92504
LEOKADIA,KOBIETA,91532
HENRYKA,KOBIETA,90982
MIROSŁAWA,KOBIETA,87881
MARIOLA,KOBIETA,86935
SABINA,KOBIETA,76935
ŁUCJA,KOBIETA,75446
WIOLETTA,KOBIETA,74728
NIKOLA,KOBIETA,73163
CECYLIA,KOBIETA,71265
DARIA,KOBIETA,71166
BOGUMIŁA,KOBIETA,70802
MILENA,KOBIETA,70000
MICHALINA,KOBIETA,68459
FRANCISZKA,KOBIETA,67149
OLGA,KOBIETA,67087
EUGENIA,KOBIETA,66122
ANGELIKA,KOBIETA,65788
ROZALIA,KOBIETA,58536
BOGUSŁAWA,KOBIETA,56481
SANDRA,KOBIETA,53899
ILONA,KOBIETA,53153
LAURA,KOBIETA,52190
GERTRUDA,KOBIETA,51877
MARLENA,KOBIETA,49057
ANITA,KOBIETA,46202
KORNELIA,KOBIETA,44587
NADIA,KOBIETA,44114
ZDZISŁAWA,KOBIETA,39766
NINA,KOBIETA,38419
DANIELA,KOBIETA,37108
JAGODA,KOBIETA,36543
ANASTAZJA,KOBIETA,35744
IGA,KOBIETA,35743
LILIANA,KOBIETA,35715
WIOLETA,KOBIETA,35096
MARCELINA,KOBIETA,34590
ADRIANNA,KOBIETA,31828
ROKSANA,KOBIETA,31788
RÓŻA,KOBIETA,31730
KARINA,KOBIETA,31728
DAGMARA,KOBIETA,31706
KLARA,KOBIETA,31527
POLA,KOBIETA,30405
MALWINA,KOBIETA,29885
PELAGIA,KOBIETA,28539
ŻANETA,KOBIETA,27692
APOLONIA,KOBIETA,27588
SARA,KOBIETA,27536
JULIANNA,KOBIETA,26632
HONORATA,KOBIETA,26601
MIECZYSŁAWA,KOBIETA,26341
BERNADETA,KOBIETA,26082
ELIZA,KOBIETA,26077
ADELA,KOBIETA,25425
WALERIA,KOBIETA,25382
LUDWIKA,KOBIETA,24907
CELINA,KOBIETA,24222
ALDONA,KOBIETA,23216
