uid,descriptor,vocabulary,description,name_displayname,lat,long,birth_year_yyyy,death_year_yyyy,feature_type,year_started_yyyy,year_ended_yyyy,occupation
18657789,7 Adam Park,_GeoBuildings,A colonial bungalow located off Adam Road that was marked as a historic site by the National Heritage Board in 2002. It was the former headquarters of the British battalion which defended Singapore before the surrender to the Japanese in February 1942. The house became a private residence after the Japanese Occupation and served as the Adam Park Guild House of the National University of Singapore Society between 1987 and 2014.,na,1.3294749,103.8137881,na,na,na,na,na,na
18589637,13 Little Pictures,_Organisations,"Singaporean film collective that produces and promotes films that celebrate cinema with all its diversities. It supports independent filmmaking through ideas, collaboration and production support. It organises regional film labs. Its feature and short films have been screened overseas in places such as Rotterdam, Berlin and New York.",13 Little Pictures,na,na,na,na,na,2009,na,na
18577410,33 Auction,_Organisations,"Auction company incorporated and registered in Singapore, to support the development of visual arts in Asia. It specialises in auctioning Modern and Contemporary Asian Art. The first auction was held in May 2009. It works closely with important art institutions, artists, prominent collectors as well as curators. In 2013, it was named one of the top auction houses in Asia by Blouin Artinfo.",33 Auction,na,na,na,na,na,na,na,na
18583485,36 - 38 Armenian Street (Place),_GeoBuildings,"Two clusters of shophouses built between the 1930s and 1940s. They housed the Mayfair Hotel from the 1950s to the late 2000s, before being converted to lodgings for foreign workers. The buildings were restored in 2011, with new extensions housing accomodations, shops and a private art gallery. The shophouses were given conservation status on 13 October 2001 under the Urban Redevelopment Authority’s voluntary conservation scheme.",na,1.294021,103.849642,na,na,building,na,na,na
18342750,72-13 (Arts centre),_GeoBuildings,"Home of theatre company Theatreworks. It offers space for theatre, film, and visual arts activities. The 2-storey colonial era building at the Robertson Quay area was well-known for many years as the 'Bank of China No. 3 Warehouse'. It was gazetted for conservation on 6 June 2014.",na,1.29137,103.8401383,na,na,building,na,na,na
18549578,81 Squadron Association,_Organisations,The association aims to preserve and maintain friendship and fellowship among members of the Royal Air Force No. 81 Squadron.,81 Squadron Association,na,na,na,na,na,2005,na,na
18604677,2nd Straits Settlements Police Band,_Organisations,"First police force band in Singapore. The first batch of bandsmen comprised Punjabis or Sikhs recruited directly from the British and Indian Regimental Bands in India, with F. E. Minns, an officer of the 2nd Sussex Regiment Band, appointed as the first Bandmaster. It was renamed the Singapore Police Force Band in 1945.",2nd Straits Settlements Police Band,na,na,na,na,na,1925,1945,na
18592446,2Tango Dazzle Ltd,_Organisations,Arts organisation that encourgaes innovative theatre practices and serves as a platform for budding theatre enthusiasts and theatre practitioners to explore unique and dynamic performances that challenge both the artists and audience.,2Tango Dazzle Ltd,na,na,na,na,na,2014,na,na
18583929,142 & 144 Moulmein Road,_GeoBuildings,Two bungalows that were part of the old Tan Tock Seng Hospital. They were gazetted for conservation on 6 June 2014. They house the Department of Clinical Epidemiology and the Tuberculosis Control Unit.,na,1.319435,103.84782,na,na,building,na,na,na
18526711,313@somerset,_GeoBuildings,"A multi-storey shopping mall at Orchard Road. Managed by Lend Lease, it was opened in 2009.",na,1.3010144,103.8383607,na,na,mall,na,na,na
18515882,8Q SAM,_GeoBuildings,"An annexe of the Singapore Art Museum located at the primary school wing of the old Catholic High School building. It derives its name from its address at 8 Queen Street, and is approximately 88 steps away from the main museum. It opened in 2008.",na,1.2971132,103.8519648,na,na,museum,na,na,na
18338517,A. Ghani Hamid,_People,"Award-winning writer, poet and artist, who has contributed to the Malay literature and the arts in Singapore since his schooldays. He has hundreds of poems, short stories, essays, newspaper articles and plays to his name. As a painter, he has participated in more than 60 exhibitions since 1950. Recipient of the Cultural Medallion (1999).",A. Ghani Hamid,na,na,1933,2014,na,na,na,Writer | Artist | Civil servant
18556905,A. L. Johnston & Co.,_Organisations,"Trading company and agency house for the exchange of Straits produce, opium, tea and British manufactured goods. It was one of the first to be established in Singapore.",na,na,na,na,na,na,1820,1892,na
18662147,A. Rahman Basrun,_People,"Former journalist who founded Scholastica, a publishing firm. He is a writer, editor, publisher and translator, and also conducts training courses for young writers.",A. Rahman Basrun,na,na,na,na,na,na,na,Writer | Editor | Publisher | Translator
