key_uid,key_descriptor,key_vocabulary,relationship_type,related_uid,related_descriptor,related_vocabulary
18657789,7 Adam Park,_GeoBuildings,na,na,na,na
18589637,13 Little Pictures,_Organisations,na,na,na,na
18577410,33 Auction,_Organisations,na,na,na,na
18583485,36 - 38 Armenian Street (Place),_GeoBuildings,UF,18583486,Former Mayfair Hotel,_GeoBuildings
18342750,72-13 (Arts centre),_GeoBuildings,na,na,na,na
18549578,81 Squadron Association,_Organisations,RT,18521591,Royal Air Force No. 81 Squadron,_Organisations
18604677,2nd Straits Settlements Police Band,_Organisations,UF,18604678,Second Straits Settlements Police Band,_Organisations
18604677,2nd Straits Settlements Police Band,_Organisations,Successor,18604294,Singapore Police Force Band,_Organisations
18592446,2Tango Dazzle Ltd,_Organisations,na,na,na,na
18583929,142 & 144 Moulmein Road,_GeoBuildings,RT,18342011,Tan Tock Seng Hospital (Place),_GeoBuildings
18526711,313@somerset,_GeoBuildings,na,na,na,na
18515882,8Q SAM,_GeoBuildings,UF,18515884,8Q Singapore Art Museum,_GeoBuildings
18515882,8Q SAM,_GeoBuildings,UF,18604755,SAM at 8Q,_GeoBuildings
18515882,8Q SAM,_GeoBuildings,RT,18341951,Singapore Art Museum (Place),_GeoBuildings
18338517,A. Ghani Hamid,_People,UF,18580558,"A. Ghani Hamid (Abdul Ghani Hamid), 1933-2014",_People
18338517,A. Ghani Hamid,_People,UF,18556547,Abdul Ghani Abdul Hamid,_People
18338517,A. Ghani Hamid,_People,UF,18487300,Abdul Ghani Hamid,_People
18338517,A. Ghani Hamid,_People,UF,18549998,Abdul Ghani Hamid Bin Hj Abdul Hamid,_People
18338517,A. Ghani Hamid,_People,UF,18549970,Analis,_People
18338517,A. Ghani Hamid,_People,UF,18549968,Kemala Murni,_People
18338517,A. Ghani Hamid,_People,UF,18549967,Kumbang Mas,_People
18338517,A. Ghani Hamid,_People,UF,18549966,Lazuardi,_People
18338517,A. Ghani Hamid,_People,UF,18549969,Merah Putih,_People
18556905,A. L. Johnston & Co.,_Organisations,na,na,na,na
18662147,A. Rahman Basrun,_People,UF,18662148,Abdul Rahman Basrun,_People
18561774,A. Samad Ismail,_People,UF,18561775,"A. Samad Ismail (Abdul Samad Ismail), 1924-2008",_People
18561774,A. Samad Ismail,_People,UF,18561751,Abdul Samad Ismail,_People
18561774,A. Samad Ismail,_People,UF,18561781,Pak Samad,_People
18561774,A. Samad Ismail,_People,UF,18561749,Samad Ismail,_People
18561774,A. Samad Ismail,_People,UF,18561750,Tan Sri Abdul Samad Ismail,_People
18338842,Aaloka Buddhist Centre,_Organisations,na,na,na,na
18598438,"Aaron Aziz, Datuk",_People,UF,18598439,Aaron Mustapha bin Aziz,_People
18606890,"Abaya, Leo",_People,UF,18606891,Leo Abaya,_People
18606890,"Abaya, Leo",_People,UF,18606892,Leo Antonio C. Abaya,_People
18533818,Abbas Abu Amin,_People,na,na,na,na
18347587,Abbotsingh Road,_Geographics,BT,18343653,Changi West,_Geographics
18487249,Abdolah Lamat,_People,UF,18614535,Abdolah bin Lamat,_People
18533543,Abdul Aleem Siddique Mosque (Place),_GeoBuildings,UF,18600304,Abdul Aleem Sidique Mosque (Place),_GeoBuildings
18533819,Abdul Aziz Karim,_People,na,na,na,na
18557261,Abdul Aziz Pakkeer Mohamed,_People,UF,18557263,Abdul Aziz bin Pakkeer Mohamed,_People
18557261,Abdul Aziz Pakkeer Mohamed,_People,UF,18557262,Azizfakir,_People
18557261,Abdul Aziz Pakkeer Mohamed,_People,UF,18557265,Melati Desa,_People
18557261,Abdul Aziz Pakkeer Mohamed,_People,UF,18557264,Rubiah Abu,_People
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,UF,18532148,Abdul Gaffoor Mosque (Place),_GeoBuildings
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,UF,18341892,Abdul Gaffor Mosque (Place),_GeoBuildings
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,UF,18341889,Dunlop Street Mosque (Place),_GeoBuildings
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,UF,18341888,Indian Mosque (Place),_GeoBuildings
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,RT,18343180,Rochor,_Geographics
18338413,Abdul Halim Haron,_People,na,na,na,na
18606982,Abdul Hamid Haji Jumat,_People,UF,18606981,Abdul Hamid bin Haji Jumat,_People
18533545,Abdul Hamid Kampung Pasiran Mosque (Place),_GeoBuildings,na,na,na,na
18557268,Abdul Jalil Abdul Kadir,_People,UF,18557269,Abdul Jalil bin Abdul Kadir,_People
18557268,Abdul Jalil Abdul Kadir,_People,UF,18557270,Ajaki,_People
18549104,Abdul Kadir Ibrahim,_People,na,na,na,na
18560836,Abdul Kadir Pandi,_People,na,na,na,na
18540383,"Abdul Kadir, Syed",_People,UF,18556982,Syed Abdul Kadir,_People
18560905,Abdul Majid Ismail,_People,UF,18600117,"Abdul Majid bin Ismail, Dato' Haji, 1921-",_People
18560905,Abdul Majid Ismail,_People,UF,18560906,Dato' Haji Abdul Majid bin Ismail,_People
18560905,Abdul Majid Ismail,_People,UF,18560909,Tan Sri Dato' Seri Haji Abdul Majid bin Ismail,_People
18612303,Abdul Multhalib Musa,_People,na,na,na,na
18530637,Abdul Nasser Kamarudin,_People,na,na,na,na
18525938,Abdul Rahim bin Abdul Rahman,_People,na,na,na,na
18532807,Abdul Rahim Ishak,_People,UF,18580402,A. Rahim Ishak,_People
18532807,Abdul Rahim Ishak,_People,UF,18580403,Rahim Ishak,_People
18532807,Abdul Rahim Ishak,_People,RT,18607525,Mawan Wajid Khan,_People
18532807,Abdul Rahim Ishak,_People,RT,18338368,Yusof Ishak,_People
18576752,Abdul Rahim Jalil,_People,na,na,na,na
18526410,Abdul Rahman Mohamad,_People,na,na,na,na
18587818,"Abdul Rahman, Sultan",_People,UF,18587819,Sultan Abdul Rahman,_People
